Airship AI Holdings Price to Free Cash Flow Ratio Historical Data,Airship AI Holdings Price to Free Cash Flow Ratio Historical Data,Airship AI Holdings Price to Free Cash Flow Ratio Historical Data,Airship AI Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.26,,0.0
2024-12-31,6.26,$-0.26,0.0
2024-09-30,2.3,$-0.17,0.0
2024-06-30,3.59,$-0.27,0.0
2024-03-31,6.59,$-0.19,0.0
2023-12-31,1.7,$-0.16,0.0
2023-09-30,10.67,$-0.28,0.0
2023-06-30,10.76,$-0.21,0.0
2023-03-31,10.15,$-0.24,0.0
2022-12-31,10.08,$-0.22,0.0
2022-09-30,9.9,$-0.07,0.0
2022-06-30,9.83,$-0.06,0.0
2022-03-31,9.77,$-0.20,0.0
