CB Financial Services Price to Free Cash Flow Ratio Historical Data,CB Financial Services Price to Free Cash Flow Ratio Historical Data,CB Financial Services Price to Free Cash Flow Ratio Historical Data,CB Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.19,,31.94
2024-12-31,28.58,$0.88,32.38
2024-09-30,27.72,$-0.39,0.0
2024-06-30,22.24,$0.93,23.82
2024-03-31,20.98,$1.43,14.68
2023-12-31,22.85,$2.17,10.52
2023-09-30,20.3,$4.12,4.92
2023-06-30,19.42,$3.19,6.09
2023-03-31,20.11,$3.55,5.66
2022-12-31,19.62,$2.75,7.14
2022-09-30,19.71,$3.91,5.04
2022-06-30,20.48,$3.21,6.38
2022-03-31,21.27,$1.99,10.7
2021-12-31,21.14,$2.20,9.63
2021-09-30,20.39,$0.94,21.63
2021-06-30,19.06,$1.31,14.57
2021-03-31,18.84,$2.71,6.96
2020-12-31,16.82,$2.58,6.52
2020-09-30,15.86,$2.65,5.98
2020-06-30,17.92,$3.15,5.69
2020-03-31,15.71,$3.76,4.17
2019-12-31,24.3,$3.48,6.98
2019-09-30,22.2,$3.90,5.69
2019-06-30,18.81,$3.39,5.55
2019-03-31,18.6,$2.39,7.78
2018-12-31,19.24,$1.88,10.25
2018-09-30,23.75,$0.99,23.89
2018-06-30,26.3,$1.25,21.04
2018-03-31,23.59,$1.37,17.25
2017-12-31,22.63,$2.04,11.11
2017-09-30,21.76,$2.22,9.82
2017-06-30,19.27,$1.72,11.22
2017-03-31,20.85,$2.25,9.27
2016-12-31,18.89,$2.42,7.8
2016-09-30,16.95,$2.45,6.92
2016-06-30,15.28,$3.01,5.07
2016-03-31,14.05,$12.71,1.11
2015-12-31,16.11,$12.72,1.27
2015-09-30,14.72,$8.36,1.76
2015-06-30,13.71,$8.05,1.7
2015-03-31,13.47,$-2.00,0.0
2014-12-31,13.43,$-2.45,0.0
2014-09-30,13.35,$2.03,6.57
2014-06-30,13.19,$2.82,4.67
2014-03-31,13.19,$3.55,3.71
2013-12-31,13.19,$3.64,3.62
2013-09-30,13.15,$2.81,4.68
2013-06-30,13.4,$1.57,8.52
2013-03-31,13.26,$0.35,37.54
2012-12-31,12.17,0,0.0
2011-12-31,12.86,0,0.0
2011-06-30,11.09,0,0.0
2011-03-31,10.99,0,0.0
2010-12-31,11.14,0,0.0
2010-09-30,11.47,0,0.0
2010-06-30,9.75,0,0.0
2010-03-31,8.81,0,0.0
2009-12-31,8.39,0,0.0
