Ocugen Price to Free Cash Flow Ratio Historical Data,Ocugen Price to Free Cash Flow Ratio Historical Data,Ocugen Price to Free Cash Flow Ratio Historical Data,Ocugen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.58,,0.0
2024-12-31,0.81,$-0.17,0.0
2024-09-30,0.99,$-0.20,0.0
2024-06-30,1.55,$-0.21,0.0
2024-03-31,1.64,$-0.26,0.0
2023-12-31,0.58,$-0.30,0.0
2023-09-30,0.4,$-0.32,0.0
2023-06-30,0.54,$-0.33,0.0
2023-03-31,0.85,$-0.31,0.0
2022-12-31,1.3,$-0.30,0.0
2022-09-30,1.78,$-0.28,0.0
2022-06-30,2.27,$-0.25,0.0
2022-03-31,3.3,$-0.30,0.0
2021-12-31,4.55,$-0.25,0.0
2021-09-30,7.18,$-0.24,0.0
2021-06-30,8.03,$-0.18,0.0
2021-03-31,6.79,$-0.07,0.0
2020-12-31,1.83,$-0.13,0.0
2020-09-30,0.31,$-0.02,0.0
2020-06-30,0.22,$-0.32,0.0
2020-03-31,0.28,$-0.77,0.0
2019-12-31,0.52,$-1.22,0.0
2019-09-30,2.85,$-1.83,0.0
2019-06-30,11.47,$6.36,1.8
2019-03-31,6.94,$-7.30,0.0
2018-12-31,5.3,$-2.36,0.0
2018-09-30,32.7,$-13.33,0.0
2018-06-30,150.0,$-36.02,0.0
2018-03-31,165.0,$-36.97,0.0
2017-12-31,123.0,$-61.53,0.0
2017-09-30,118.8,$-67.66,0.0
2017-06-30,107.4,$-77.33,0.0
2017-03-31,103.8,$-93.08,0.0
2016-12-31,100.2,$-108.43,0.0
2016-09-30,192.6,$-123.11,0.0
2016-06-30,102.6,$-131.89,0.0
2016-03-31,137.4,$-136.71,0.0
2015-12-31,210.0,$-144.75,0.0
2015-09-30,239.04,$-942.27,0.0
