Alcoa Price to Free Cash Flow Ratio Historical Data,Alcoa Price to Free Cash Flow Ratio Historical Data,Alcoa Price to Free Cash Flow Ratio Historical Data,Alcoa Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.84,,165.67
2024-12-31,37.78,$0.21,179.65
2024-09-30,38.49,$-0.80,0.0
2024-06-30,39.56,$-1.46,0.0
2024-03-31,33.52,$-2.88,0.0
2023-12-31,33.61,$-2.45,0.0
2023-09-30,28.61,$-2.83,0.0
2023-06-30,33.31,$-2.29,0.0
2023-03-31,41.67,$0.74,56.1
2022-12-31,44.43,$1.92,23.18
2022-09-30,32.81,$5.75,5.71
2022-06-30,44.34,$7.51,5.91
2022-03-31,87.43,$4.91,17.81
2021-12-31,57.79,$7.87,7.34
2021-09-30,47.37,$3.97,11.94
2021-06-30,35.66,$2.53,14.08
2021-03-31,31.45,$3.95,7.96
2020-12-31,22.31,$1.28,17.36
2020-09-30,11.26,$2.38,4.74
2020-06-30,10.88,$2.46,4.42
2020-03-31,5.96,$1.29,4.64
2019-12-31,20.82,$1.78,11.67
2019-09-30,19.43,$3.17,6.13
2019-06-30,22.66,$3.70,6.13
2019-03-31,27.26,$0.96,28.38
2018-12-31,25.73,$0.26,97.23
2018-09-30,39.1,$-0.18,0.0
2018-06-30,45.37,$0.29,156.46
2018-03-31,43.52,$4.29,10.14
2017-12-31,52.14,$5.69,9.16
2017-09-30,45.12,$0.75,59.92
