Windtree Therapeutics Price to Free Cash Flow Ratio Historical Data,Windtree Therapeutics Price to Free Cash Flow Ratio Historical Data,Windtree Therapeutics Price to Free Cash Flow Ratio Historical Data,Windtree Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.18,,0.0
2024-09-30,2.39,"$-2,054.05",0.0
2024-06-30,3.21,"$-2,237.74",0.0
2024-03-31,6.37,"$-3,385.38",0.0
2023-12-31,12.94,"$-3,121.03",0.0
2023-09-30,17.07,"$-1,733.23",0.0
2023-06-30,22.5,"$-1,353.27",0.0
2023-03-31,89.82,$-71.24,0.0
2022-12-31,3.06,$-30.59,0.0
2022-09-30,5.4,$-73.22,0.0
2022-06-30,7.51,$-68.09,0.0
2022-03-31,20.52,$-59.96,0.0
2021-12-31,28.89,$-48.42,0.0
2021-09-30,37.08,$-1.09,0.0
2021-06-30,41.22,$-1.32,0.0
2021-03-31,44.1,$-1.58,0.0
2020-12-31,92.34,$-1.64,0.0
2020-09-30,99.0,$-1.73,0.0
2020-06-30,126.0,$-1.65,0.0
2020-03-31,43.85,$-1.85,0.0
2019-12-31,43.85,$-2.28,0.0
2019-09-30,43.85,$-2.77,0.0
2019-06-30,43.85,$-3.29,0.0
2019-03-31,43.85,$-3.55,0.0
2018-12-31,43.85,$-3.51,0.0
2018-09-30,43.85,$-0.73,0.0
2018-06-30,43.85,$3.24,13.54
2018-03-31,43.85,$-4.95,0.0
2017-12-31,43.85,$-20.50,0.0
2017-09-30,877.07,$-100.45,0.0
2017-06-30,877.07,$-104.53,0.0
2017-03-31,1231.2,$-97.69,0.0
