Sphere 3D Price to Free Cash Flow Ratio Historical Data,Sphere 3D Price to Free Cash Flow Ratio Historical Data,Sphere 3D Price to Free Cash Flow Ratio Historical Data,Sphere 3D Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.45,,0.0
2024-09-30,0.9,$-0.37,0.0
2024-06-30,1.08,$-0.47,0.0
2024-03-31,1.54,$-0.44,0.0
2023-12-31,3.32,$-0.30,0.0
2023-09-30,1.33,$-0.64,0.0
2023-06-30,1.94,$-0.82,0.0
2023-03-31,2.46,$-2.14,0.0
2022-12-31,1.93,$-5.11,0.0
2022-09-30,3.09,$-16.04,0.0
2022-06-30,3.75,$-32.25,0.0
2022-03-31,14.7,$-31.85,0.0
2021-12-31,21.84,$-29.67,0.0
2021-09-30,41.58,$-19.43,0.0
2021-06-30,18.27,$-3.19,0.0
2021-03-31,18.27,$-2.95,0.0
2020-12-31,10.01,$-3.07,0.0
2020-09-30,17.29,$-5.60,0.0
2020-06-30,20.02,$-3.25,0.0
2020-03-31,4.9,$-2.39,0.0
2019-12-31,5.45,$-4.72,0.0
2019-09-30,8.19,$-17.95,0.0
2019-06-30,10.99,$-21.08,0.0
2019-03-31,16.8,$-20.05,0.0
2018-12-31,21.35,$-32.41,0.0
2018-09-30,21.84,$-40.38,0.0
2018-06-30,25.91,$-110.62,0.0
2018-03-31,56.19,$-179.49,0.0
2017-06-30,270.2,$-199.11,0.0
2017-03-31,302.96,$-406.50,0.0
2016-12-31,420.0,$-498.82,0.0
2016-09-30,659.54,$-754.89,0.0
2016-06-30,1120.0,$-822.87,0.0
2016-03-31,1736.0,$-845.71,0.0
2015-12-31,2121.0,$-869.77,0.0
2015-09-30,2954.0,$-702.05,0.0
2015-06-30,7098.0,$-753.35,0.0
2015-03-31,5180.0,$-641.69,0.0
2014-12-31,7350.0,$-453.87,0.0
2014-09-30,9527.0,$-297.74,0.0
