Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data,Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data,Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data,Iridium Communications Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.55,,10.78
2024-12-31,29.02,$2.56,11.36
2024-09-30,30.31,$2.45,12.37
2024-06-30,26.36,$2.06,12.82
2024-03-31,25.77,$2.00,12.89
2023-12-31,40.35,$1.90,21.26
2023-09-30,44.45,$1.83,24.25
2023-06-30,60.54,$1.94,31.2
2023-03-31,60.23,$2.06,29.19
2022-12-31,49.88,$2.10,23.74
2022-09-30,43.06,$2.18,19.72
2022-06-30,36.45,$2.20,16.57
2022-03-31,39.13,$2.04,19.16
2021-12-31,40.07,$1.95,20.52
2021-09-30,38.67,$1.85,20.86
2021-06-30,38.81,$1.73,22.47
2021-03-31,40.03,$1.65,24.25
2020-12-31,38.17,$1.58,24.14
2020-09-30,24.83,$1.46,17.0
2020-06-30,24.69,$1.52,16.27
2020-03-31,21.67,$0.76,28.56
2019-12-31,23.91,$0.64,37.27
2019-09-30,20.65,$-0.25,0.0
2019-06-30,22.57,$-0.74,0.0
2019-03-31,25.66,$-0.82,0.0
2018-12-31,17.91,$-1.17,0.0
2018-09-30,21.84,$-1.03,0.0
2018-06-30,15.63,$-1.38,0.0
2018-03-31,10.92,$-1.45,0.0
2017-12-31,11.45,$-1.10,0.0
2017-09-30,10.0,$-1.59,0.0
2017-06-30,10.72,$-1.44,0.0
2017-03-31,9.37,$-1.09,0.0
2016-12-31,9.32,$-1.45,0.0
2016-09-30,7.87,$-2.74,0.0
2016-06-30,8.62,$-2.64,0.0
2016-03-31,7.64,$-3.16,0.0
2015-12-31,8.16,$-2.92,0.0
2015-09-30,5.97,$-2.86,0.0
2015-06-30,8.82,$-2.55,0.0
2015-03-31,9.42,$-1.87,0.0
2014-12-31,9.46,$-2.07,0.0
2014-09-30,8.59,$-1.09,0.0
2014-06-30,8.21,$-2.11,0.0
2014-03-31,7.29,$-3.14,0.0
2013-12-31,6.07,$-2.52,0.0
2013-09-30,6.68,$-3.62,0.0
2013-06-30,7.53,$-2.73,0.0
2013-03-31,5.85,$-3.01,0.0
2012-12-31,6.52,$-3.42,0.0
2012-09-30,7.1,$-2.10,0.0
2012-06-30,8.68,$-2.49,0.0
2012-03-31,8.5,$-2.04,0.0
2011-12-31,7.48,$-2.39,0.0
2011-09-30,6.02,$-2.23,0.0
2011-06-30,8.39,$-2.15,0.0
2011-03-31,7.74,$-1.55,0.0
2010-12-31,8.01,$-1.18,0.0
2010-09-30,8.29,$0.21,39.3
2010-06-30,9.74,$0.11,90.81
2010-03-31,7.87,$0.34,23.24
2009-12-31,7.79,$0.29,26.59
