Western New England Bancorp Price to Free Cash Flow Ratio Historical Data,Western New England Bancorp Price to Free Cash Flow Ratio Historical Data,Western New England Bancorp Price to Free Cash Flow Ratio Historical Data,Western New England Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.1,,17.31
2024-12-31,9.2,$0.53,17.5
2024-09-30,8.43,$0.62,13.58
2024-06-30,6.76,$0.80,8.45
2024-03-31,7.46,$0.88,8.46
2023-12-31,8.68,$0.55,15.77
2023-09-30,6.2,$0.94,6.57
2023-06-30,5.52,$1.14,4.84
2023-03-31,7.67,$1.03,7.44
2022-12-31,8.77,$1.62,5.4
2022-09-30,7.49,$1.23,6.1
2022-06-30,6.82,$0.93,7.31
2022-03-31,8.12,$1.00,8.14
2021-12-31,7.9,$1.09,7.26
2021-09-30,7.66,$1.03,7.41
2021-06-30,7.27,$0.99,7.38
2021-03-31,7.48,$0.84,8.95
2020-12-31,6.07,$0.86,7.06
2020-09-30,4.92,$0.40,12.36
2020-06-30,5.01,$0.56,8.9
2020-03-31,5.79,$0.75,7.76
2019-12-31,8.2,$0.54,15.28
2019-09-30,8.08,$0.83,9.72
2019-06-30,7.87,$0.73,10.75
2019-03-31,7.74,$0.69,11.3
2018-12-31,8.37,$0.74,11.35
2018-09-30,8.97,$0.78,11.55
2018-06-30,9.1,$0.77,11.83
2018-03-31,8.78,$0.74,11.89
2017-12-31,8.95,$0.55,16.14
2017-09-30,8.93,$0.20,45.63
2017-06-30,8.29,$0.09,90.76
2017-03-31,8.55,$0.03,339.19
2016-12-31,7.59,$-0.03,0.0
2016-09-30,6.18,$0.31,19.73
2016-06-30,6.2,$0.41,15.24
2016-03-31,6.76,$0.47,14.46
2015-12-31,6.71,$0.51,13.2
2015-09-30,6.09,$0.47,13.05
2015-06-30,5.8,$0.43,13.34
2015-03-31,6.11,$0.49,12.44
2014-12-31,5.77,$0.57,10.05
2014-09-30,5.53,$0.79,7.04
2014-06-30,5.79,$0.76,7.66
2014-03-31,5.74,$0.67,8.53
2013-12-31,5.7,$0.66,8.68
2013-09-30,5.35,$0.44,12.28
2013-06-30,5.26,$0.44,12.01
2013-03-31,5.76,$0.48,11.91
2012-12-31,5.31,$0.42,12.79
2012-09-30,5.38,$0.47,11.51
2012-06-30,5.2,$0.44,11.93
2012-03-31,5.51,$0.51,10.86
2011-12-31,5.09,$0.54,9.49
2011-09-30,4.43,$0.56,7.93
2011-06-30,5.41,$0.59,9.12
2011-03-31,5.9,$0.59,10.0
2010-12-31,5.98,$0.64,9.39
2010-09-30,4.92,$0.57,8.62
2010-06-30,5.21,$0.45,11.65
2010-03-31,5.62,$0.34,16.42
2009-12-31,5.01,$0.31,16.4
