Avino Silver Price to Free Cash Flow Ratio Historical Data,Avino Silver Price to Free Cash Flow Ratio Historical Data,Avino Silver Price to Free Cash Flow Ratio Historical Data,Avino Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.9,,16.21
2024-12-31,0.88,$0.12,7.52
2024-09-30,1.1,$0.02,72.85
2024-06-30,0.9,$-0.02,0.0
2024-03-31,0.62,$-0.03,0.0
2023-12-31,0.52,$-0.06,0.0
2023-09-30,0.52,$-0.05,0.0
2023-06-30,0.66,$-0.04,0.0
2023-03-31,0.89,$-0.03,0.0
2022-12-31,0.68,$0.02,27.87
2022-09-30,0.51,$0.04,11.64
2022-06-30,0.54,$0.02,25.77
2022-03-31,0.94,$0.01,0.0
2021-12-31,0.86,$-0.03,0.0
2021-09-30,0.83,$-0.05,0.0
2021-06-30,1.17,$-0.04,0.0
2021-03-31,1.24,$-0.03,0.0
2020-12-31,1.3,$-0.03,0.0
2020-09-30,0.99,$0.01,71.41
2020-06-30,0.81,$-0.04,0.0
2020-03-31,0.34,$-0.04,0.0
2019-12-31,0.58,$-0.05,0.0
2019-09-30,0.59,$-0.14,0.0
2019-06-30,0.55,$-0.07,0.0
2019-03-31,0.6,$-0.09,0.0
2018-12-31,0.61,$-0.09,0.0
2018-09-30,0.62,$-0.09,0.0
2018-06-30,1.24,$-0.19,0.0
2018-03-31,1.39,$-0.23,0.0
2017-12-31,1.34,$-0.27,0.0
2017-09-30,1.55,$-0.20,0.0
2017-06-30,1.6,$-0.13,0.0
2017-03-31,1.74,$-0.11,0.0
2016-12-31,1.37,$-0.08,0.0
2016-09-30,2.06,$0.18,11.77
2016-06-30,2.43,$-0.07,0.0
2016-03-31,1.02,$-0.17,0.0
2015-12-31,0.9,$-0.24,0.0
2015-09-30,0.92,$-0.61,0.0
2015-06-30,1.04,$-0.40,0.0
2015-03-31,1.34,$-0.29,0.0
2014-12-31,1.26,$-0.17,0.0
2014-09-30,1.37,$-0.11,0.0
2014-06-30,2.28,$0.00,0.0
2014-03-31,1.53,$0.02,83.61
2013-12-31,1.17,$-0.01,0.0
2013-09-30,1.2,$-0.18,0.0
2013-06-30,0.9,$-0.28,0.0
2013-03-31,1.47,$-0.26,0.0
2012-12-31,1.83,$-0.28,0.0
2012-09-30,1.66,$-0.12,0.0
2012-06-30,1.25,$-0.20,0.0
2012-03-31,2.09,$-0.20,0.0
2011-12-31,1.42,$-0.16,0.0
2011-09-30,1.79,$-0.13,0.0
2011-06-30,2.17,0,0.0
2011-03-31,3.42,0,0.0
