Comfort Systems USA Price to Free Cash Flow Ratio Historical Data,Comfort Systems USA Price to Free Cash Flow Ratio Historical Data,Comfort Systems USA Price to Free Cash Flow Ratio Historical Data,Comfort Systems USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,356.79,,17.17
2024-12-31,424.06,$20.78,20.4
2024-09-30,390.04,$20.14,19.37
2024-06-30,303.59,$17.49,17.35
2024-03-31,316.88,$15.67,20.22
2023-12-31,204.97,$15.34,13.36
2023-09-30,169.62,$14.49,11.7
2023-06-30,163.23,$10.56,15.46
2023-03-31,144.91,$8.66,16.74
2022-12-31,114.11,$7.10,16.07
2022-09-30,96.39,$4.42,21.83
2022-06-30,82.24,$4.14,19.85
2022-03-31,87.89,$3.75,23.44
2021-12-31,97.56,$4.41,22.1
2021-09-30,70.23,$5.60,12.55
2021-06-30,77.46,$5.86,13.22
2021-03-31,73.41,$9.00,8.16
2020-12-31,51.62,$7.20,7.17
2020-09-30,50.38,$6.32,7.97
2020-06-30,39.77,$6.82,5.83
2020-03-31,35.55,$3.64,9.77
2019-12-31,48.36,$3.03,15.97
2019-09-30,42.83,$4.11,10.43
2019-06-30,49.25,$2.91,16.95
2019-03-31,50.5,$3.07,16.45
2018-12-31,42.03,$3.24,12.99
2018-09-30,54.19,$2.05,26.41
2018-06-30,43.93,$2.49,17.62
2018-03-31,39.5,$1.95,20.29
2017-12-31,41.72,$2.12,19.65
2017-09-30,34.06,$2.26,15.05
2017-06-30,35.32,$1.41,25.08
2017-03-31,34.82,$1.71,20.33
2016-12-31,31.57,$1.83,17.29
2016-09-30,27.72,$1.37,20.29
2016-06-30,30.73,$1.65,18.59
2016-03-31,29.91,$1.87,15.98
2015-12-31,26.7,$2.07,12.89
2015-09-30,25.55,$1.62,15.74
2015-06-30,21.46,$1.60,13.38
2015-03-31,19.62,$1.43,13.68
2014-12-31,15.92,$0.65,24.33
2014-09-30,12.55,$0.89,14.11
2014-06-30,14.58,$1.02,14.28
2014-03-31,14.01,$0.62,22.62
2013-12-31,17.77,$0.59,30.14
2013-09-30,15.36,$0.98,15.64
2013-06-30,13.59,$0.76,17.87
2013-03-31,12.78,$0.75,16.96
2012-12-31,10.99,$0.53,20.64
2012-09-30,9.83,$1.19,8.24
2012-06-30,8.97,$0.79,11.36
2012-03-31,9.71,$0.57,17.18
2011-12-31,9.5,$0.58,16.34
2011-09-30,7.33,$0.41,17.72
2011-06-30,9.3,$0.29,31.99
2011-03-31,12.27,$0.47,26.22
2010-12-31,11.45,$0.70,16.36
2010-09-30,9.28,$-0.29,0.0
2010-06-30,8.32,$0.47,17.62
2010-03-31,10.71,$1.00,10.73
2009-12-31,10.53,$1.19,8.89
