TFS Financial Price to Free Cash Flow Ratio Historical Data,TFS Financial Price to Free Cash Flow Ratio Historical Data,TFS Financial Price to Free Cash Flow Ratio Historical Data,TFS Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.25,,36.1
2024-12-31,12.56,$0.34,37.02
2024-09-30,12.6,$0.31,41.12
2024-06-30,12.1,$0.56,21.42
2024-03-31,11.77,$0.34,34.92
2023-12-31,13.47,$0.16,84.71
2023-09-30,10.61,$0.31,34.54
2023-06-30,11.05,$0.21,51.77
2023-03-31,10.83,$0.13,80.89
2022-12-31,12.11,$0.38,31.79
2022-09-30,10.7,$0.13,81.44
2022-06-30,11.08,$0.04,261.93
2022-03-31,13.14,$0.28,46.45
2021-12-31,13.91,$0.24,59.19
2021-09-30,14.61,$0.29,49.75
2021-06-30,15.34,$0.54,28.4
2021-03-31,15.2,$0.36,41.85
2020-12-31,12.99,$0.41,31.69
2020-09-30,10.65,$0.51,20.75
2020-06-30,10.18,$0.51,19.95
2020-03-31,10.68,$0.51,20.8
2019-12-31,13.57,$0.43,31.92
2019-09-30,12.26,$0.36,34.28
2019-06-30,12.11,$0.33,36.46
2019-03-31,10.88,$0.28,39.3
2018-12-31,10.5,$0.08,125.78
2018-09-30,9.62,$0.30,31.85
2018-06-30,9.95,$0.28,35.28
2018-03-31,9.17,$0.29,31.21
2017-12-31,9.22,$0.34,27.0
2017-09-30,9.84,$0.35,28.33
2017-06-30,9.33,$0.39,24.17
2017-03-31,9.95,$0.37,26.74
2016-12-31,11.31,$0.38,29.76
2016-09-30,10.51,$0.27,39.35
2016-06-30,10.09,$0.25,40.69
2016-03-31,10.12,$0.29,34.46
2015-12-31,10.91,$0.33,33.56
2015-09-30,9.94,$0.33,30.08
2015-06-30,9.64,$0.31,31.1
2015-03-31,8.37,$0.30,28.02
2014-12-31,8.45,$0.31,27.31
2014-09-30,8.09,$0.34,24.15
2014-06-30,8.02,$0.35,22.77
2014-03-31,6.99,$0.45,15.63
2013-12-31,6.81,$0.42,16.29
2013-09-30,6.73,$0.46,14.76
2013-06-30,6.3,$0.53,11.86
2013-03-31,6.09,$0.51,12.03
2012-12-31,5.41,$0.49,10.98
2012-09-30,5.1,$0.49,10.38
2012-06-30,5.37,$0.27,20.03
2012-03-31,5.34,$0.46,11.51
2011-12-31,5.04,$0.46,10.98
2011-09-30,4.57,$0.44,10.35
2011-06-30,5.44,$0.90,6.03
2011-03-31,5.97,$0.52,11.54
2010-12-31,5.07,$0.66,7.63
2010-09-30,5.17,$0.37,13.84
2010-06-30,6.98,$0.73,9.59
2010-03-31,7.47,$0.68,11.02
2009-12-31,6.75,$0.88,7.68
