Maximus Price to Free Cash Flow Ratio Historical Data,Maximus Price to Free Cash Flow Ratio Historical Data,Maximus Price to Free Cash Flow Ratio Historical Data,Maximus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,67.21,,13.95
2024-12-31,74.65,$4.82,15.5
2024-09-30,92.81,$6.52,14.23
2024-06-30,85.09,$6.22,13.67
2024-03-31,83.01,$3.03,27.36
2023-12-31,82.67,$6.09,13.58
2023-09-30,73.34,$3.64,20.15
2023-06-30,82.72,$3.64,22.73
2023-03-31,76.76,$4.91,15.63
2022-12-31,71.28,$1.73,41.27
2022-09-30,56.0,$4.04,13.87
2022-06-30,60.23,$-1.69,0.0
2022-03-31,71.91,$-3.14,0.0
2021-12-31,76.15,$-2.03,0.0
2021-09-30,79.26,$-0.45,0.0
2021-06-30,83.52,$5.57,15.01
2021-03-31,84.27,$5.93,14.22
2020-12-31,69.04,$3.47,19.91
2020-09-30,64.29,$3.22,19.97
2020-06-30,65.96,$2.09,31.53
2020-03-31,54.26,$4.20,12.93
2019-12-31,69.09,$4.90,14.11
2019-09-30,71.49,$4.47,15.99
2019-06-30,67.13,$5.34,12.57
2019-03-31,65.45,$4.52,14.48
2018-12-31,59.81,$4.69,12.76
2018-09-30,59.56,$4.40,13.53
2018-06-30,56.82,$3.73,15.23
2018-03-31,61.01,$4.41,13.83
2017-12-31,65.39,$4.24,15.41
2017-09-30,58.88,$4.73,12.46
2017-06-30,57.13,$4.43,12.91
2017-03-31,56.7,$3.87,14.67
2016-12-31,50.82,$3.12,16.3
2016-09-30,51.47,$2.02,25.51
2016-06-30,50.35,$1.01,49.66
2016-03-31,47.83,$1.32,36.37
2015-12-31,51.06,$0.71,72.28
2015-09-30,54.03,$1.50,35.96
2015-06-30,59.58,$1.89,31.52
2015-03-31,60.47,$1.66,36.4
2014-12-31,49.64,$2.53,19.64
2014-09-30,36.29,$2.41,15.06
2014-06-30,38.86,$2.32,16.74
2014-03-31,40.48,$1.71,23.72
2013-12-31,39.65,$1.61,24.66
2013-09-30,40.56,$1.11,36.65
2013-06-30,33.5,$1.25,26.74
2013-03-31,35.93,$0.86,41.91
2012-12-31,28.37,$1.07,26.63
2012-09-30,26.75,$1.39,19.24
2012-06-30,23.14,$1.34,17.33
2012-03-31,18.15,$1.59,11.38
2011-12-31,18.42,$1.08,17.06
2011-09-30,15.51,$1.10,14.07
2011-06-30,18.34,$1.05,17.44
2011-03-31,17.97,$1.25,14.33
2010-12-31,14.49,$1.41,10.28
2010-09-30,13.55,$1.73,7.82
2010-06-30,12.71,$1.48,8.59
2010-03-31,13.35,$0.95,14.02
2009-12-31,10.93,$0.87,12.56
