Cingulate Price to Free Cash Flow Ratio Historical Data,Cingulate Price to Free Cash Flow Ratio Historical Data,Cingulate Price to Free Cash Flow Ratio Historical Data,Cingulate Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.09,,0.0
2024-09-30,5.04,$-58.62,0.0
2024-06-30,0.32,$-212.08,0.0
2024-03-31,1.1,$-147.07,0.0
2023-12-31,7.65,$-202.36,0.0
2023-09-30,0.71,$-223.38,0.0
2023-06-30,0.93,$-152.10,0.0
2023-03-31,0.99,$-314.06,0.0
2022-12-31,1.0,$-319.61,0.0
2022-09-30,1.07,$-576.05,0.0
