Westlake Price to Free Cash Flow Ratio Historical Data,Westlake Price to Free Cash Flow Ratio Historical Data,Westlake Price to Free Cash Flow Ratio Historical Data,Westlake Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,101.28,,42.76
2024-12-31,114.65,$2.37,48.41
2024-09-30,149.68,$3.48,43.06
2024-06-30,143.7,$5.02,28.65
2024-03-31,151.15,$7.42,20.37
2023-12-31,137.95,$10.12,13.62
2023-09-30,122.4,$12.03,10.18
2023-06-30,116.85,$13.45,8.69
2023-03-31,113.09,$16.27,6.95
2022-12-31,99.68,$17.75,5.62
2022-09-30,84.18,$17.58,4.79
2022-06-30,94.65,$17.40,5.44
2022-03-31,118.87,$15.91,7.47
2021-12-31,93.32,$13.49,6.92
2021-09-30,87.3,$11.91,7.33
2021-06-30,85.98,$9.07,9.48
2021-03-31,84.52,$7.79,10.84
2020-12-31,77.43,$6.03,12.85
2020-09-30,59.78,$4.78,12.51
2020-06-30,50.5,$5.26,9.6
2020-03-31,35.72,$3.62,9.85
2019-12-31,65.36,$3.99,16.37
2019-09-30,60.82,$3.29,18.5
2019-06-30,64.17,$4.05,15.83
2019-03-31,62.44,$4.46,14.0
2018-12-31,60.67,$5.44,11.15
2018-09-30,75.93,$8.11,9.37
2018-06-30,98.08,$7.63,12.86
2018-03-31,101.11,$7.71,13.12
2017-12-31,96.73,$7.34,13.18
2017-09-30,75.28,$5.45,13.8
2017-06-30,59.82,$2.73,21.94
2017-03-31,59.49,$2.06,28.82
2016-12-31,50.28,$1.83,27.46
2016-09-30,47.88,$1.16,41.13
2016-06-30,38.27,$3.34,11.45
2016-03-31,41.11,$3.68,11.18
2015-12-31,48.03,$4.44,10.81
2015-09-30,45.74,$4.90,9.33
2015-06-30,60.25,$4.63,13.01
2015-03-31,63.04,$4.45,14.17
2014-12-31,53.4,$4.50,11.87
2014-09-30,75.5,$3.66,20.65
2014-06-30,72.91,$2.48,29.44
2014-03-31,57.52,$1.57,36.65
2013-12-31,52.99,$0.55,96.42
2013-09-30,45.34,$0.14,334.65
2013-06-30,41.68,$0.04,1145.04
2013-03-31,40.34,$1.10,36.76
2012-12-31,34.14,$1.66,20.55
2012-09-30,29.85,$2.27,13.15
2012-06-30,21.3,$2.26,9.42
2012-03-31,26.37,$1.61,16.42
2011-12-31,16.36,$1.40,11.73
2011-09-30,13.91,$1.31,10.63
2011-06-30,21.03,$1.80,11.71
2011-03-31,22.74,$2.17,10.47
2010-12-31,17.57,$1.54,11.37
2010-09-30,12.08,$1.17,10.34
2010-06-30,7.48,$0.45,16.71
2010-03-31,10.35,$-0.14,0.0
2009-12-31,9.98,$1.06,9.4
