Phunware Price to Free Cash Flow Ratio Historical Data,Phunware Price to Free Cash Flow Ratio Historical Data,Phunware Price to Free Cash Flow Ratio Historical Data,Phunware Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.89,,0.0
2024-09-30,3.42,$-2.08,0.0
2024-06-30,5.49,$-2.76,0.0
2024-03-31,8.96,$-4.97,0.0
2023-12-31,4.1,$-7.75,0.0
2023-09-30,8.95,$-8.61,0.0
2023-06-30,27.0,$-11.91,0.0
2023-03-31,35.5,$-11.97,0.0
2022-12-31,38.67,$-13.69,0.0
2022-09-30,59.0,$-13.84,0.0
2022-06-30,54.0,$-12.64,0.0
2022-03-31,139.0,$-14.56,0.0
2021-12-31,131.5,$-14.92,0.0
2021-09-30,46.44,$-17.82,0.0
2021-06-30,69.5,$-16.75,0.0
2021-03-31,82.5,$-15.67,0.0
2020-12-31,63.0,$-12.39,0.0
2020-09-30,45.75,$-8.18,0.0
2020-06-30,61.5,$-6.53,0.0
2020-03-31,33.75,$-3.99,0.0
2019-12-31,59.5,$-8.41,0.0
2019-09-30,72.0,$-2.08,0.0
2019-06-30,155.5,$-9.83,0.0
2019-03-31,684.5,$-17.04,0.0
2018-12-31,713.0,$-1.05,0.0
2018-11-30,502.5,$-18.01,0.0
2018-09-30,525.0,$-4.02,0.0
2018-08-31,522.5,$-2.66,0.0
2018-06-30,519.0,$-10.75,0.0
2018-05-31,519.16,$4.21,123.45
2018-03-31,517.5,$-2.65,0.0
2018-02-28,512.5,$1.58,324.24
2017-11-30,507.5,0,0.0
2017-08-31,514.0,$-3.49,0.0
2017-05-31,501.5,$-2.85,0.0
