MillerKnoll Price to Free Cash Flow Ratio Historical Data,MillerKnoll Price to Free Cash Flow Ratio Historical Data,MillerKnoll Price to Free Cash Flow Ratio Historical Data,MillerKnoll Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.96,,10.44
2024-11-30,25.14,$1.82,13.84
2024-08-31,29.23,$2.22,13.19
2024-05-31,27.2,$3.70,7.34
2024-02-29,29.93,$3.85,7.77
2023-11-30,25.12,$3.99,6.3
2023-08-31,18.46,$3.59,5.14
2023-05-31,12.79,$1.05,12.17
2023-02-28,22.36,$0.29,77.06
2022-11-30,18.93,$-0.64,0.0
2022-08-31,25.52,$-1.44,0.0
2022-05-31,27.84,$-1.42,0.0
2022-02-28,35.61,$-0.40,0.0
2021-11-30,34.58,$0.04,809.92
2021-08-31,38.14,$1.88,20.27
2021-05-31,43.18,$4.82,8.95
2021-02-28,34.52,$3.95,8.73
2020-11-30,31.92,$4.25,7.51
2020-08-31,21.24,$3.90,5.44
2020-05-31,20.51,$2.60,7.9
2020-02-29,30.51,$3.35,9.1
2019-11-30,42.33,$3.11,13.61
2019-08-31,37.29,$2.60,14.34
2019-05-31,31.15,$2.21,14.11
2019-02-28,32.02,$1.75,18.34
2018-11-30,29.4,$1.75,16.82
2018-08-31,33.25,$1.87,17.75
2018-05-31,28.29,$1.62,17.41
2018-02-28,30.69,$2.06,14.87
2017-11-30,30.56,$1.83,16.69
2017-08-31,28.62,$1.70,16.88
2017-05-31,26.69,$1.90,14.08
2017-02-28,24.94,$1.88,13.27
2016-11-30,27.2,$2.36,11.54
2016-08-31,30.03,$2.05,14.62
2016-05-31,26.23,$2.25,11.67
2016-02-29,21.51,$1.85,11.63
2015-11-30,26.0,$1.52,17.14
2015-08-31,22.12,$1.50,14.71
2015-05-31,22.48,$1.74,12.91
2015-02-28,25.01,$1.66,15.07
2014-11-30,24.43,$1.64,14.94
2014-08-31,23.78,$0.89,26.77
2014-05-31,24.91,$0.86,29.02
2014-02-28,22.35,$1.14,19.66
2013-11-30,25.18,$1.29,19.53
2013-08-31,20.02,$1.80,11.13
2013-05-31,21.99,$1.49,14.79
2013-02-28,18.69,$0.70,26.87
2012-11-30,16.36,$1.00,16.31
2012-08-31,15.09,$1.03,14.62
2012-05-31,14.19,$1.35,10.5
2012-02-29,16.11,$1.82,8.87
2011-11-30,16.54,$1.39,11.92
2011-08-31,15.21,$1.54,9.9
2011-05-31,19.19,$1.03,18.6
2011-02-28,20.58,$1.05,19.59
2010-11-30,16.44,$0.91,18.06
2010-08-31,12.5,$1.00,12.49
2010-05-31,14.64,$1.34,10.92
2010-02-28,13.84,$1.23,11.3
2009-11-30,11.54,$1.97,5.85
