Cigna Group Price to Free Cash Flow Ratio Historical Data,Cigna Group Price to Free Cash Flow Ratio Historical Data,Cigna Group Price to Free Cash Flow Ratio Historical Data,Cigna Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,321.39,,10.16
2024-12-31,276.14,$31.63,8.73
2024-09-30,344.98,$18.24,18.91
2024-06-30,327.92,$27.49,11.93
2024-03-31,360.28,$34.89,10.33
2023-12-31,295.81,$34.49,8.58
2023-09-30,281.25,$36.03,7.81
2023-06-30,274.66,$37.77,7.27
2023-03-31,248.96,$33.54,7.42
2022-12-31,321.41,$23.51,13.67
2022-09-30,268.24,$29.82,9.0
2022-06-30,253.76,$25.21,10.07
2022-03-31,229.75,$20.71,11.09
2021-12-31,219.11,$17.71,12.38
2021-09-30,190.07,$16.86,11.27
2021-06-30,224.08,$13.48,16.63
2021-03-31,227.58,$23.22,9.8
2020-12-31,195.16,$25.13,7.77
2020-09-30,158.81,$20.86,7.61
2020-06-30,175.91,$24.84,7.08
2020-03-31,166.1,$18.73,8.87
2019-12-31,191.66,$22.21,8.63
2019-09-30,142.27,$15.29,9.31
2019-06-30,147.66,$11.42,12.93
2019-03-31,150.73,$12.94,11.65
2018-12-31,177.96,$12.96,13.74
2018-09-30,195.13,$15.06,12.96
2018-06-30,159.25,$17.52,9.09
2018-03-31,157.18,$16.26,9.66
2017-12-31,190.26,$14.17,13.42
2017-09-30,175.13,$15.40,11.37
2017-06-30,156.81,$17.89,8.76
2017-03-31,137.23,$16.34,8.4
2016-12-31,124.93,$13.73,9.1
2016-09-30,122.05,$14.62,8.35
2016-06-30,119.87,$9.60,12.49
2016-03-31,128.53,$10.04,12.81
2015-12-31,137.01,$9.30,14.73
2015-09-30,126.42,$7.58,16.68
2015-06-30,151.68,$7.04,21.55
2015-03-31,121.19,$7.22,16.78
2014-12-31,96.32,$6.27,15.35
2014-09-30,84.88,$5.98,14.2
2014-06-30,86.08,$6.76,12.74
2014-03-31,78.37,$5.18,15.13
2013-12-31,81.84,$0.67,121.35
2013-09-30,71.9,$1.39,51.79
2013-06-30,67.82,$-2.28,0.0
2013-03-31,58.35,$0.66,88.65
2012-12-31,49.98,$6.71,7.45
2012-09-30,44.1,$4.64,9.51
2012-06-30,41.13,$8.20,5.01
2012-03-31,46.04,$6.95,6.62
2011-12-31,39.23,$3.90,10.06
2011-09-30,39.17,$4.80,8.15
2011-06-30,48.04,$4.33,11.1
2011-03-31,41.36,$3.93,10.52
2010-12-31,34.21,$5.24,6.53
2010-09-30,33.39,$5.34,6.25
2010-06-30,28.98,$4.03,7.19
2010-03-31,34.14,$2.78,12.29
2009-12-31,32.88,$1.59,20.67
