Marten Transport Price to Free Cash Flow Ratio Historical Data,Marten Transport Price to Free Cash Flow Ratio Historical Data,Marten Transport Price to Free Cash Flow Ratio Historical Data,Marten Transport Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.66,,0.0
2024-12-31,15.61,$-0.21,0.0
2024-09-30,17.64,$-0.08,0.0
2024-06-30,18.32,$0.19,94.25
2024-03-31,18.29,$-0.04,0.0
2023-12-31,20.7,$-0.10,0.0
2023-09-30,19.38,$0.18,105.18
2023-06-30,21.08,$0.37,56.51
2023-03-31,20.49,$0.80,25.46
2022-12-31,19.29,$1.03,18.69
2022-09-30,18.63,$1.13,16.47
2022-06-30,16.31,$1.08,15.06
2022-03-31,17.16,$0.74,23.17
2021-12-31,16.53,$0.57,29.02
2021-09-30,15.08,$0.58,26.05
2021-06-30,15.3,$0.72,21.11
2021-03-31,15.71,$1.23,12.74
2020-12-31,15.91,$1.00,15.88
2020-09-30,14.62,$0.63,23.33
2020-06-30,15.0,$0.36,41.18
2020-03-31,12.21,$-0.11,0.0
2019-12-31,12.76,$0.18,71.23
2019-09-30,12.32,$0.60,20.52
2019-06-30,10.37,$0.85,12.16
2019-03-31,10.17,$1.02,9.95
2018-12-31,9.22,$0.60,15.45
2018-09-30,11.99,$0.47,25.28
2018-06-30,13.34,$0.20,66.58
2018-03-31,12.96,$0.07,188.08
2017-12-31,11.53,$0.32,35.64
2017-09-30,11.65,$0.14,80.81
2017-06-30,9.31,$0.17,53.66
2017-03-31,7.96,$0.09,85.32
2016-12-31,7.9,$0.45,17.66
2016-09-30,7.11,$0.50,14.2
2016-06-30,6.7,$0.20,32.99
2016-03-31,6.33,$0.05,124.05
2015-12-31,5.97,$0.04,138.92
2015-09-30,5.45,$-0.02,0.0
2015-06-30,7.3,$0.24,29.97
2015-03-31,7.8,$0.04,184.37
2014-12-31,7.34,$-0.43,0.0
2014-09-30,5.97,$-0.28,0.0
2014-06-30,7.49,$-0.09,0.0
2014-03-31,7.2,$0.14,51.25
2013-12-31,6.75,$0.20,34.34
2013-09-30,5.73,$0.18,31.1
2013-06-30,5.22,$0.10,53.73
2013-03-31,4.47,$0.04,104.63
2012-12-31,4.08,$-0.03,0.0
2012-09-30,3.73,$-0.16,0.0
2012-06-30,4.51,$-0.09,0.0
2012-03-31,4.68,$0.23,19.92
2011-12-31,3.81,$0.46,8.34
2011-09-30,3.65,$0.55,6.66
2011-06-30,4.56,$0.33,13.83
2011-03-31,4.71,$0.18,26.4
2010-12-31,4.51,$-0.20,0.0
2010-09-30,4.88,$-0.39,0.0
2010-06-30,4.37,$-0.30,0.0
2010-03-31,4.15,$-0.24,0.0
2009-12-31,3.78,$0.02,172.54
