ESGL Holdings Price to Free Cash Flow Ratio Historical Data,ESGL Holdings Price to Free Cash Flow Ratio Historical Data,ESGL Holdings Price to Free Cash Flow Ratio Historical Data,ESGL Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.9,,3.3
2023-12-31,0.7,$0.58,1.21
2023-06-30,10.79,$-0.10,0.0
2023-03-31,10.5,$-0.17,0.0
