Benson Hill Price to Free Cash Flow Ratio Historical Data,Benson Hill Price to Free Cash Flow Ratio Historical Data,Benson Hill Price to Free Cash Flow Ratio Historical Data,Benson Hill Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.38,,0.0
2024-09-30,7.2,$-2.81,0.0
2024-06-30,0.15,$-6.33,0.0
2024-03-31,0.2,$-6.27,0.0
2023-12-31,0.17,$-10.98,0.0
2023-09-30,0.33,$-22.66,0.0
2023-06-30,1.3,$-18.78,0.0
2023-03-31,1.15,$-16.60,0.0
2022-12-31,2.55,$-21.36,0.0
2022-09-30,2.74,$-27.64,0.0
2022-06-30,2.74,$-33.07,0.0
2022-03-31,3.23,$-41.87,0.0
2021-12-31,7.29,$-42.83,0.0
