WSFS Financial Price to Free Cash Flow Ratio Historical Data,WSFS Financial Price to Free Cash Flow Ratio Historical Data,WSFS Financial Price to Free Cash Flow Ratio Historical Data,WSFS Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.68,,15.01
2024-12-31,53.13,$3.44,15.43
2024-09-30,50.85,$1.63,31.2
2024-06-30,46.73,$4.32,10.83
2024-03-31,44.74,$5.09,8.8
2023-12-31,45.36,$3.77,12.04
2023-09-30,35.9,$5.77,6.22
2023-06-30,36.97,$5.73,6.45
2023-03-31,36.69,$7.04,5.21
2022-12-31,44.1,$7.43,5.93
2022-09-30,45.04,$2.85,15.8
2022-06-30,38.74,$4.36,8.89
2022-03-31,44.91,$1.93,23.22
2021-12-31,48.16,$2.51,19.22
2021-09-30,49.18,$5.25,9.38
2021-06-30,44.52,$0.44,101.12
2021-03-31,47.46,$0.43,111.0
2020-12-31,42.67,$0.16,267.87
2020-09-30,25.55,$1.22,20.92
2020-06-30,27.07,$1.44,18.76
2020-03-31,23.4,$2.22,10.54
2019-12-31,41.18,$1.53,26.94
2019-09-30,41.17,$2.08,19.81
2019-06-30,38.56,$3.93,9.82
2019-03-31,36.04,$2.66,13.52
2018-12-31,35.3,$4.05,8.72
2018-09-30,43.79,$3.80,11.52
2018-06-30,49.4,$3.77,13.11
2018-03-31,44.3,$4.24,10.44
2017-12-31,44.17,$3.79,11.65
2017-09-30,44.92,$3.91,11.5
2017-06-30,41.72,$2.43,17.14
2017-03-31,42.21,$3.12,13.55
2016-12-31,42.51,$2.26,18.79
2016-09-30,33.4,$1.91,17.5
2016-06-30,29.42,$3.16,9.32
2016-03-31,29.66,$3.09,9.61
2015-12-31,29.45,$2.27,12.95
2015-09-30,26.18,$2.35,11.14
2015-06-30,24.81,$2.02,12.31
2015-03-31,22.82,$1.07,21.27
2014-12-31,23.15,$2.26,10.24
2014-09-30,21.52,$2.24,9.61
2014-06-30,22.1,$1.86,11.91
2014-03-31,21.39,$2.95,7.26
2013-12-31,23.18,$2.03,11.41
2013-09-30,17.98,$3.01,5.98
2013-06-30,15.61,$3.09,5.06
2013-03-31,14.46,$2.98,4.84
2012-12-31,12.52,$3.60,3.48
2012-09-30,12.2,$2.61,4.68
2012-06-30,11.91,$2.60,4.58
2012-03-31,12.05,$2.16,5.58
2011-12-31,10.54,$2.55,4.13
2011-09-30,9.22,$2.39,3.86
2011-06-30,11.54,$2.56,4.51
2011-03-31,13.67,$2.73,5.0
2010-12-31,13.73,$2.41,5.7
2010-09-30,10.82,$1.29,8.36
2010-06-30,10.34,$1.38,7.51
2010-03-31,11.19,$0.84,13.28
2009-12-31,7.32,$0.78,9.35
