Pioneer Bancorp Price to Free Cash Flow Ratio Historical Data,Pioneer Bancorp Price to Free Cash Flow Ratio Historical Data,Pioneer Bancorp Price to Free Cash Flow Ratio Historical Data,Pioneer Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.95,,23.34
2024-09-30,10.97,$0.51,21.43
2024-06-30,10.01,$0.91,10.97
2024-03-31,9.81,$1.09,9.01
2023-12-31,10.01,$1.05,9.51
2023-09-30,8.54,$1.19,7.18
2023-06-30,8.95,$1.03,8.72
2023-03-31,9.86,$1.34,7.33
2022-12-31,11.4,$2.19,5.2
2022-09-30,9.52,$2.09,4.55
2022-06-30,9.8,$2.00,4.89
2022-03-31,10.52,$1.37,7.7
2021-12-31,11.32,$1.28,8.86
2021-09-30,12.64,$1.59,7.94
2021-06-30,12.02,$1.29,9.35
2021-03-31,11.65,$1.45,8.05
2020-12-31,10.57,$-0.15,0.0
2020-09-30,8.88,$-0.00,0.0
2020-06-30,9.15,$0.02,497.28
