Oncobiologics Price to Free Cash Flow Ratio Historical Data,Oncobiologics Price to Free Cash Flow Ratio Historical Data,Oncobiologics Price to Free Cash Flow Ratio Historical Data,Oncobiologics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-12-31,1.89,$-3.16,0.0
2024-09-30,5.34,$-3.71,0.0
2024-06-30,7.38,$-3.12,0.0
2024-03-31,11.94,$-4.37,0.0
2023-12-31,7.88,$-3.65,0.0
2023-09-30,4.42,$-3.44,0.0
2023-06-30,34.8,$-3.49,0.0
2023-03-31,21.8,$-4.36,0.0
2022-12-31,21.6,$-4.96,0.0
2022-09-30,24.4,$-5.34,0.0
2022-06-30,20.4,$-5.94,0.0
2022-03-31,35.6,$-6.09,0.0
2021-12-31,27.2,$-6.09,0.0
2021-09-30,43.4,$-7.11,0.0
2021-06-30,49.8,$-9.79,0.0
2021-03-31,45.0,$-6.35,0.0
2020-12-31,26.0,$-6.49,0.0
2020-09-30,14.4,$-8.76,0.0
2020-06-30,25.8,$-17.04,0.0
2020-03-31,12.02,$-13.40,0.0
2019-12-31,11.8,$-20.09,0.0
2019-09-30,29.8,$-35.98,0.0
2019-06-30,41.6,$-47.33,0.0
2019-03-31,148.0,$-65.03,0.0
2018-12-31,80.0,$-103.24,0.0
2018-09-30,156.8,$-145.26,0.0
2018-06-30,135.18,$-122.57,0.0
2018-03-31,142.4,$-145.49,0.0
2017-12-31,208.0,$-126.18,0.0
2017-09-30,219.2,$-105.13,0.0
2017-06-30,160.0,$-231.65,0.0
2017-03-31,428.8,$-501.18,0.0
