Greenlight Capital Re Price to Free Cash Flow Ratio Historical Data,Greenlight Capital Re Price to Free Cash Flow Ratio Historical Data,Greenlight Capital Re Price to Free Cash Flow Ratio Historical Data,Greenlight Capital Re Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.42,,4.21
2024-12-31,14.0,$3.19,4.39
2024-09-30,13.65,$2.99,4.56
2024-06-30,13.1,$1.37,9.54
2024-03-31,12.47,$0.77,16.26
2023-12-31,11.42,$0.22,52.94
2023-09-30,10.74,$-0.39,0.0
2023-06-30,10.54,$-0.44,0.0
2023-03-31,9.39,$-0.48,0.0
2022-12-31,8.15,$-0.80,0.0
2022-09-30,7.44,$-1.90,0.0
2022-06-30,7.73,$-1.42,0.0
2022-03-31,7.07,$-1.45,0.0
2021-12-31,7.84,$-1.64,0.0
2021-09-30,7.39,$-1.84,0.0
2021-06-30,9.13,$-1.89,0.0
2021-03-31,8.7,$-2.18,0.0
2020-12-31,7.31,$-2.52,0.0
2020-09-30,6.73,$-0.97,0.0
2020-06-30,6.52,$-0.99,0.0
2020-03-31,5.95,$-0.64,0.0
2019-12-31,10.11,$0.05,223.67
2019-09-30,10.5,$-1.27,0.0
2019-06-30,8.49,$-1.03,0.0
2019-03-31,10.87,$-1.06,0.0
2018-12-31,8.62,$-1.65,0.0
2018-09-30,12.4,$0.15,85.34
2018-06-30,14.2,$0.49,29.16
2018-03-31,16.05,$1.35,11.87
2017-12-31,20.1,$2.55,7.88
2017-09-30,21.65,$2.66,8.15
2017-06-30,20.9,$0.36,57.81
2017-03-31,22.1,$-0.35,0.0
2016-12-31,22.8,$-0.96,0.0
2016-09-30,20.44,$-2.18,0.0
2016-06-30,20.16,$-0.51,0.0
2016-03-31,21.79,$-1.27,0.0
2015-12-31,18.71,$-1.57,0.0
2015-09-30,22.28,$-2.41,0.0
2015-06-30,29.17,$-3.59,0.0
2015-03-31,31.8,$-3.74,0.0
2014-12-31,32.65,$-3.53,0.0
2014-09-30,32.41,$-3.30,0.0
2014-06-30,32.94,$-2.15,0.0
2014-03-31,32.8,$-2.28,0.0
2013-12-31,33.71,$-2.49,0.0
2013-09-30,28.44,$-1.95,0.0
2013-06-30,24.53,$-2.73,0.0
2013-03-31,24.45,$-1.92,0.0
2012-12-31,23.08,$-1.35,0.0
2012-09-30,24.75,$-1.42,0.0
2012-06-30,25.42,$-0.76,0.0
2012-03-31,24.63,$-0.85,0.0
2011-12-31,23.67,$-0.71,0.0
2011-09-30,20.74,$0.35,59.92
2011-06-30,26.29,$1.11,23.73
2011-03-31,28.21,$1.20,23.55
2010-12-31,26.81,$1.03,25.95
2010-09-30,25.02,$0.26,97.17
2010-06-30,25.19,$0.47,53.76
2010-03-31,26.68,$1.07,24.88
2009-12-31,23.59,$1.32,17.85
