Aercap Holdings Price to Free Cash Flow Ratio Historical Data,Aercap Holdings Price to Free Cash Flow Ratio Historical Data,Aercap Holdings Price to Free Cash Flow Ratio Historical Data,Aercap Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,104.6,,6.67
2024-12-31,95.7,$15.68,6.1
2024-09-30,94.47,$14.93,6.33
2024-06-30,92.71,$17.59,5.27
2024-03-31,86.21,$17.07,5.05
2023-12-31,73.72,$11.95,6.17
2023-09-30,62.17,$13.05,4.76
2023-06-30,63.01,$10.88,5.79
2023-03-31,55.78,$12.49,4.47
2022-12-31,57.85,$13.83,4.18
2022-09-30,41.99,$16.44,2.55
2022-06-30,40.61,$19.40,2.09
2022-03-31,49.88,$18.05,2.76
2021-12-31,64.9,$18.70,3.47
2021-09-30,57.35,$14.59,3.93
2021-06-30,50.8,$13.15,3.86
2021-03-31,58.27,$12.76,4.57
2020-12-31,45.21,$14.27,3.17
2020-09-30,24.99,$15.05,1.66
2020-06-30,30.55,$14.15,2.16
2020-03-31,22.61,$15.20,1.49
2019-12-31,60.98,$11.19,5.45
2019-09-30,54.31,$4.35,12.49
2019-06-30,51.59,$3.50,14.73
2019-03-31,46.17,$0.19,239.83
2018-12-31,39.28,$4.21,9.32
2018-09-30,57.06,$5.71,9.99
2018-06-30,53.72,$5.83,9.22
2018-03-31,50.31,$8.11,6.2
2017-12-31,52.19,$5.76,9.07
2017-09-30,50.7,$9.97,5.08
2017-06-30,46.06,$14.32,3.22
2017-03-31,45.6,$15.00,3.04
2016-12-31,41.28,$15.05,2.74
2016-09-30,38.18,$16.75,2.28
2016-06-30,33.32,$15.79,2.11
2016-03-31,38.45,$15.64,2.46
2015-12-31,42.81,$10.82,3.96
2015-09-30,37.93,$5.53,6.86
2015-06-30,45.42,$3.96,11.48
2015-03-31,43.3,$-1.07,0.0
2014-12-31,38.51,$1.04,37.06
2014-09-30,40.57,$3.01,13.5
2014-06-30,45.43,$-0.63,0.0
2014-03-31,41.85,$-2.34,0.0
2013-12-31,38.04,$-4.02,0.0
2013-09-30,19.3,$-1.96,0.0
2013-06-30,17.32,$-1.48,0.0
2013-03-31,15.33,$2.26,6.78
2012-12-31,13.61,$3.24,4.2
2012-09-30,12.4,$1.58,7.86
2012-06-30,11.19,$1.46,7.65
2012-03-31,11.02,$1.42,7.74
2011-12-31,11.2,$-0.34,0.0
2011-09-30,9.84,$-0.58,0.0
2011-06-30,12.91,$-1.60,0.0
2011-03-31,12.47,$-3.50,0.0
2010-12-31,14.01,$-5.88,0.0
2010-09-30,11.74,$-4.78,0.0
2010-06-30,10.3,$-7.40,0.0
2010-03-31,11.43,$-8.56,0.0
2009-12-31,8.99,$-8.37,0.0
