Gladstone Commercial Price to Free Cash Flow Ratio Historical Data,Gladstone Commercial Price to Free Cash Flow Ratio Historical Data,Gladstone Commercial Price to Free Cash Flow Ratio Historical Data,Gladstone Commercial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.87,,11.52
2024-12-31,16.24,$1.29,12.58
2024-09-30,16.05,$1.22,13.11
2024-06-30,13.82,$1.74,7.92
2024-03-31,13.12,$2.00,6.58
2023-12-31,12.27,$1.50,8.16
2023-09-30,11.0,$1.24,8.85
2023-06-30,10.94,$0.79,13.77
2023-03-31,10.9,$-0.03,0.0
2022-12-31,15.64,$-0.28,0.0
2022-09-30,12.82,$-1.30,0.0
2022-06-30,15.28,$-1.67,0.0
2022-03-31,17.52,$-0.90,0.0
2021-12-31,20.16,$-0.71,0.0
2021-09-30,16.19,$-0.14,0.0
2021-06-30,17.07,$0.51,33.46
2021-03-31,14.54,$0.70,20.84
2020-12-31,13.13,$-0.95,0.0
2020-09-30,12.03,$-2.19,0.0
2020-06-30,13.11,$-2.82,0.0
2020-03-31,9.81,$-4.03,0.0
2019-12-31,14.58,$-2.26,0.0
2019-09-30,15.42,$-0.81,0.0
2019-06-30,13.69,$-0.39,0.0
2019-03-31,13.17,$0.85,15.56
2018-12-31,11.15,$0.74,15.16
2018-09-30,11.68,$-0.12,0.0
2018-06-30,11.5,$-2.63,0.0
2018-03-31,10.17,$-2.39,0.0
2017-12-31,12.1,$-1.97,0.0
2017-09-30,12.58,$-1.51,0.0
2017-06-30,12.1,$0.39,31.08
2017-03-31,11.28,$-0.64,0.0
2016-12-31,10.76,$-1.03,0.0
2016-09-30,9.78,$-0.27,0.0
2016-06-30,8.68,$-0.11,0.0
2016-03-31,8.23,$-0.84,0.0
2015-12-31,7.14,$-2.19,0.0
2015-09-30,6.74,$-4.36,0.0
2015-06-30,7.72,$-4.75,0.0
2015-03-31,8.5,$-6.38,0.0
2014-12-31,7.68,$-5.29,0.0
2014-09-30,7.44,$-5.52,0.0
2014-06-30,7.66,$-9.12,0.0
2014-03-31,7.28,$-8.56,0.0
2013-12-31,7.38,$-8.85,0.0
2013-09-30,7.23,$-9.42,0.0
2013-06-30,7.35,$-5.18,0.0
2013-03-31,7.53,$-5.55,0.0
2012-12-31,6.81,$-5.88,0.0
2012-09-30,6.78,$-5.37,0.0
2012-06-30,6.06,$-4.90,0.0
2012-03-31,6.12,$-3.44,0.0
2011-12-31,6.11,$-2.42,0.0
2011-09-30,5.34,$0.12,44.69
2011-06-30,5.77,$0.43,13.33
2011-03-31,5.95,$1.90,3.13
2010-12-31,6.02,$1.82,3.3
2010-09-30,5.38,$1.98,2.72
2010-06-30,5.01,$1.80,2.79
2010-03-31,4.33,$1.89,2.29
2009-12-31,3.91,$1.98,1.97
