NioCorp Developments Price to Free Cash Flow Ratio Historical Data,NioCorp Developments Price to Free Cash Flow Ratio Historical Data,NioCorp Developments Price to Free Cash Flow Ratio Historical Data,NioCorp Developments Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.72,,0.0
2024-12-31,1.55,$-0.25,0.0
2024-09-30,2.18,$-0.27,0.0
2024-06-30,1.73,$-0.34,0.0
2024-03-31,2.72,$-0.36,0.0
2023-12-31,3.19,$-0.74,0.0
2023-09-30,3.63,$-0.62,0.0
2023-06-30,5.03,$-0.60,0.0
2023-03-31,6.36,$-0.33,0.0
2022-12-31,10.01,$-0.10,0.0
2022-09-30,9.81,$-0.10,0.0
2022-06-30,9.78,$-0.10,0.0
2022-03-31,9.76,$-0.30,0.0
