Onity Group Price to Free Cash Flow Ratio Historical Data,Onity Group Price to Free Cash Flow Ratio Historical Data,Onity Group Price to Free Cash Flow Ratio Historical Data,Onity Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.49,,0.0
2024-12-31,30.71,$-71.81,0.0
2024-09-30,31.94,$-10.38,0.0
2024-06-30,23.98,$37.13,0.65
2024-03-31,27.01,$-7.83,0.0
2023-12-31,30.76,$2.10,14.68
2023-09-30,25.88,$-45.00,0.0
2023-06-30,29.97,$-96.63,0.0
2023-03-31,27.12,$-29.01,0.0
2022-12-31,30.58,$19.17,1.6
2022-09-30,23.27,$24.30,0.96
2022-06-30,27.4,$7.42,3.69
2022-03-31,23.76,$-14.86,0.0
2021-12-31,39.97,$-50.11,0.0
2021-09-30,28.13,$-42.37,0.0
2021-06-30,30.98,$-20.01,0.0
2021-03-31,28.43,$-3.95,0.0
2020-12-31,28.91,$30.06,0.96
2020-09-30,21.12,$25.51,0.83
2020-06-30,9.96,$28.64,0.35
2020-03-31,7.5,$25.20,0.3
2019-12-31,20.55,$17.27,1.19
2019-09-30,28.2,$19.18,1.47
2019-06-30,31.05,$23.93,1.3
2019-03-31,27.3,$31.30,0.87
2018-12-31,20.1,$30.64,0.66
2018-09-30,59.1,$33.03,1.79
2018-06-30,59.4,$35.72,1.66
2018-03-31,61.8,$48.14,1.28
2017-12-31,46.95,$47.56,0.99
2017-09-30,51.6,$55.71,0.93
2017-06-30,40.35,$62.62,0.64
2017-03-31,82.05,$43.74,1.88
2016-12-31,80.85,$48.22,1.68
2016-09-30,55.05,$13.04,4.22
2016-06-30,25.65,$21.15,1.21
2016-03-31,37.05,$41.83,0.89
2015-12-31,104.55,$65.11,1.61
2015-09-30,100.65,$66.54,1.51
2015-06-30,153.0,$79.31,1.93
2015-03-31,123.75,$56.38,2.19
2014-12-31,226.5,$38.93,5.82
2014-09-30,392.7,$50.21,7.82
2014-06-30,556.5,$26.22,21.23
2014-03-31,587.7,$69.07,8.51
2013-12-31,831.75,$91.77,9.06
2013-09-30,836.55,$146.81,5.7
2013-06-30,618.3,$186.41,3.32
2013-03-31,568.8,$198.26,2.87
2012-12-31,518.85,$194.45,2.67
2012-09-30,411.15,$172.34,2.39
2012-06-30,281.7,$139.62,2.02
2012-03-31,234.45,$119.30,1.97
2011-12-31,217.2,$131.13,1.66
2011-09-30,198.15,$147.69,1.34
2011-06-30,191.4,$138.53,1.38
2011-03-31,165.3,$121.00,1.37
2010-12-31,143.1,$101.29,1.41
2010-09-30,152.1,$62.94,2.42
2010-06-30,152.85,$49.79,3.07
2010-03-31,166.35,$42.03,3.96
2009-12-31,143.55,$39.38,3.65
