LENSAR Price to Free Cash Flow Ratio Historical Data,LENSAR Price to Free Cash Flow Ratio Historical Data,LENSAR Price to Free Cash Flow Ratio Historical Data,LENSAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.4,,0.0
2024-12-31,8.94,$-0.21,0.0
2024-09-30,4.58,$-0.64,0.0
2024-06-30,4.5,$-0.87,0.0
2024-03-31,3.4,$-0.74,0.0
2023-12-31,3.51,$-0.90,0.0
2023-09-30,3.09,$-1.26,0.0
2023-06-30,4.25,$-1.77,0.0
2023-03-31,2.49,$-1.83,0.0
2022-12-31,2.96,$-1.47,0.0
2022-09-30,5.55,$-1.10,0.0
2022-06-30,6.51,$-0.87,0.0
2022-03-31,7.4,$-0.75,0.0
2021-12-31,5.99,$-0.99,0.0
2021-09-30,7.65,$-3.95,0.0
