Siyata Mobile Price to Free Cash Flow Ratio Historical Data,Siyata Mobile Price to Free Cash Flow Ratio Historical Data,Siyata Mobile Price to Free Cash Flow Ratio Historical Data,Siyata Mobile Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.08,,0.01
2024-09-30,0.92,$358.33,0.0
2024-06-30,0.8,$-80.06,0.0
2024-03-31,3.6,$-358.23,0.0
2023-12-31,4.21,$-36.55,0.0
2023-09-30,2.82,$-869.52,0.0
2023-06-30,0.05,"$-1,029.61",0.0
2023-03-31,0.15,$-499.67,0.0
2022-12-31,0.15,$-463.26,0.0
2022-09-30,0.31,$-81.19,0.0
2022-06-30,1.09,$-77.41,0.0
2022-03-31,1.25,$-2.14,0.0
2021-12-31,3.7,$-2.64,0.0
2021-09-30,3.45,$-6.30,0.0
2021-06-30,8.59,$-8.41,0.0
