Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data,Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data,Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data,Zurn Elkay Water Solutions Cor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,33.64,,21.5
2024-12-31,37.3,$1.56,23.84
2024-09-30,35.86,$1.60,22.44
2024-06-30,29.26,$1.65,17.75
2024-03-31,33.23,$1.65,20.12
2023-12-31,29.12,$1.36,21.48
2023-09-30,27.67,$1.56,17.77
2023-06-30,26.49,$1.15,23.04
2023-03-31,20.98,$1.00,20.89
2022-12-31,20.71,$0.59,35.12
2022-09-30,23.92,$-0.14,0.0
2022-06-30,26.53,$0.46,57.96
2022-03-31,34.44,$0.79,43.52
2021-12-31,35.39,$1.72,20.63
2021-09-30,62.45,$0.15,423.1
2021-06-30,48.53,$-0.06,0.0
2021-03-31,45.59,$-0.37,0.0
2020-12-31,38.16,$-0.00,0.0
2020-09-30,28.77,$2.38,12.07
2020-06-30,28.03,$2.34,12.0
2020-03-31,21.73,$2.11,10.31
2019-12-31,31.2,$1.23,25.37
2019-09-30,25.87,$1.11,23.41
2019-06-30,28.91,$1.03,28.07
2019-03-31,24.05,$0.99,24.2
2018-12-31,21.95,$0.99,22.09
2018-09-30,29.46,$0.89,32.98
2018-06-30,27.8,$0.63,44.07
2018-03-31,28.39,$0.84,33.86
2017-12-31,24.89,$0.84,29.69
2017-09-30,24.31,$0.90,27.04
2017-06-30,22.24,$0.97,22.89
2017-03-31,22.08,$0.77,28.86
2016-12-31,18.74,$0.77,24.49
2016-09-30,20.48,$1.03,19.89
2016-06-30,18.78,$1.33,14.16
2016-03-31,19.34,$1.25,15.46
2015-12-31,17.33,$1.25,13.85
2015-09-30,16.24,$1.32,12.28
2015-06-30,22.87,$1.37,16.69
2015-03-31,25.53,$1.34,19.03
2014-12-31,26.98,$1.34,20.11
2014-09-30,27.21,$1.26,21.57
2014-06-30,26.93,$0.94,28.69
2014-03-31,27.72,$0.61,45.38
2013-12-31,25.84,$0.61,42.29
2013-09-30,19.9,$0.22,91.06
2013-06-30,16.12,$0.29,54.82
2013-03-31,20.31,$0.14,148.67
2012-12-31,20.37,$0.14,149.16
