Cardio Diagnostics Holdings Price to Free Cash Flow Ratio Historical Data,Cardio Diagnostics Holdings Price to Free Cash Flow Ratio Historical Data,Cardio Diagnostics Holdings Price to Free Cash Flow Ratio Historical Data,Cardio Diagnostics Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.44,,0.0
2024-12-31,0.92,$-0.19,0.0
2024-09-30,0.22,$-0.31,0.0
2024-06-30,0.55,$-0.32,0.0
2024-03-31,1.42,$-0.38,0.0
2023-12-31,2.49,$-0.49,0.0
2023-09-30,0.34,$-1.69,0.0
2023-06-30,1.19,$-1.83,0.0
2023-03-31,3.91,$-1.78,0.0
2022-12-31,1.06,$-1.65,0.0
