Suzano S.A Price to Free Cash Flow Ratio Historical Data,Suzano S.A Price to Free Cash Flow Ratio Historical Data,Suzano S.A Price to Free Cash Flow Ratio Historical Data,Suzano S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.83,,309.12
2024-09-30,9.7,$0.03,304.97
2024-06-30,9.96,$-0.15,0.0
2024-03-31,12.39,$-0.49,0.0
2023-12-31,11.02,$-0.24,0.0
2023-09-30,10.19,$-0.00,0.0
2023-06-30,8.74,$0.05,172.37
2023-03-31,7.78,$0.53,14.77
2022-12-31,8.76,$0.74,11.91
2022-09-30,7.54,$0.75,10.0
2022-06-30,8.66,$1.52,5.71
2022-03-31,10.5,$1.64,6.42
2021-12-31,9.65,$1.80,5.37
2021-09-30,8.93,$1.89,4.72
2021-06-30,10.75,$1.67,6.46
2021-03-31,10.91,$1.54,7.07
2020-12-31,9.99,$1.21,8.26
2020-09-30,7.3,$0.83,8.76
2020-06-30,6.04,$0.96,6.3
2020-03-31,6.14,$0.80,7.66
2019-12-31,8.79,$0.55,16.0
