Bioceres Crop Solutions Price to Free Cash Flow Ratio Historical Data,Bioceres Crop Solutions Price to Free Cash Flow Ratio Historical Data,Bioceres Crop Solutions Price to Free Cash Flow Ratio Historical Data,Bioceres Crop Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.31,,0.0
2024-12-31,6.08,$-0.02,0.0
2024-09-30,7.87,$0.40,19.49
2024-06-30,11.21,$0.51,22.06
2024-03-31,12.66,$-0.04,0.0
2023-12-31,13.73,$0.25,55.75
2023-09-30,11.29,$0.58,19.44
2023-06-30,13.36,$-0.14,0.0
2023-03-31,11.61,$-0.03,0.0
2022-12-31,12.03,$0.14,86.55
2022-09-30,13.02,$-0.66,0.0
2022-06-30,13.71,$-0.45,0.0
2022-03-31,13.62,$0.19,70.1
2021-12-31,14.14,$-0.08,0.0
2021-09-30,13.5,$-0.33,0.0
2021-06-30,14.05,$-0.22,0.0
2021-03-31,10.18,$-0.68,0.0
2020-12-31,6.2,$-0.42,0.0
2020-09-30,5.36,$-0.16,0.0
2020-06-30,6.06,$0.21,28.57
2020-03-31,4.9,$1.03,4.74
