Universal Electronics Price to Free Cash Flow Ratio Historical Data,Universal Electronics Price to Free Cash Flow Ratio Historical Data,Universal Electronics Price to Free Cash Flow Ratio Historical Data,Universal Electronics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.6,,8.34
2024-12-31,11.0,$0.79,13.91
2024-09-30,9.23,$0.67,13.72
2024-06-30,11.62,$0.75,15.55
2024-03-31,10.01,$1.42,7.03
2023-12-31,9.39,$1.33,7.07
2023-09-30,9.05,$1.57,5.75
2023-06-30,9.62,$2.11,4.55
2023-03-31,10.14,$0.89,11.44
2022-12-31,20.81,$-0.24,0.0
2022-09-30,19.67,$0.17,114.83
2022-06-30,25.57,$-0.50,0.0
2022-03-31,31.24,$1.21,25.86
2021-12-31,40.75,$2.02,20.22
2021-09-30,49.25,$2.73,18.07
2021-06-30,48.5,$4.85,10.0
2021-03-31,54.97,$3.98,13.8
2020-12-31,52.46,$3.99,13.15
2020-09-30,37.74,$5.15,7.32
2020-06-30,46.82,$3.68,12.73
2020-03-31,38.37,$4.34,8.85
2019-12-31,52.26,$4.53,11.53
2019-09-30,50.9,$2.71,18.75
2019-06-30,41.02,$1.43,28.6
2019-03-31,37.15,$0.46,80.88
2018-12-31,25.28,$-0.52,0.0
2018-09-30,39.35,$-1.27,0.0
2018-06-30,33.05,$-1.87,0.0
2018-03-31,52.05,$-2.39,0.0
2017-12-31,47.25,$-2.18,0.0
2017-09-30,63.4,$-2.49,0.0
2017-06-30,66.85,$-1.28,0.0
2017-03-31,68.5,$-0.39,0.0
2016-12-31,64.55,$0.60,107.17
2016-09-30,74.46,$0.47,159.55
2016-06-30,72.28,$0.52,139.13
2016-03-31,61.99,$0.05,1199.03
2015-12-31,51.35,$-0.44,0.0
2015-09-30,42.03,$0.73,57.2
2015-06-30,49.84,$0.99,50.23
2015-03-31,56.44,$1.40,40.31
2014-12-31,65.03,$2.90,22.39
2014-09-30,49.37,$3.68,13.43
2014-06-30,48.88,$2.40,20.4
2014-03-31,38.39,$2.96,12.98
2013-12-31,38.11,$1.30,29.23
2013-09-30,36.03,$0.33,107.62
2013-06-30,28.13,$2.11,13.3
2013-03-31,23.25,$1.49,15.56
2012-12-31,19.35,$2.19,8.84
2012-09-30,17.58,$1.37,12.87
2012-06-30,13.17,$0.43,30.79
2012-03-31,19.98,$-0.03,0.0
2011-12-31,16.87,$0.08,219.38
2011-09-30,16.39,$1.76,9.3
2011-06-30,25.26,$1.28,19.8
2011-03-31,29.56,$1.70,17.39
2010-12-31,28.37,$2.11,13.47
2010-09-30,20.85,$0.53,39.13
2010-06-30,16.63,$1.51,11.0
2010-03-31,22.34,$1.34,16.65
2009-12-31,23.22,$1.28,18.21
