Cactus Price to Free Cash Flow Ratio Historical Data,Cactus Price to Free Cash Flow Ratio Historical Data,Cactus Price to Free Cash Flow Ratio Historical Data,Cactus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,46.4,,13.21
2024-12-31,58.36,$3.51,16.61
2024-09-30,59.55,$3.26,18.29
2024-06-30,52.53,$3.78,13.91
2024-03-31,49.77,$4.21,11.82
2023-12-31,44.99,$3.80,11.85
2023-09-30,49.62,$3.60,13.8
2023-06-30,41.72,$3.02,13.81
2023-03-31,40.51,$1.66,24.37
2022-12-31,49.27,$1.21,40.73
2022-09-30,37.6,$1.08,34.87
2022-06-30,39.3,$0.64,61.74
2022-03-31,55.26,$0.63,87.16
2021-12-31,37.05,$0.68,54.1
2021-09-30,36.55,$0.84,43.29
2021-06-30,35.49,$1.03,34.48
2021-03-31,29.52,$1.35,21.84
2020-12-31,25.06,$1.66,15.11
2020-09-30,18.38,$1.09,16.81
2020-06-30,19.68,$1.71,11.55
2020-03-31,11.02,$2.26,4.88
2019-12-31,32.49,$2.04,15.93
2019-09-30,27.31,$3.49,7.83
2019-06-30,31.26,$2.66,11.75
2019-03-31,33.6,$2.44,13.76
2018-12-31,25.87,$3.03,8.54
