Avantor Price to Free Cash Flow Ratio Historical Data,Avantor Price to Free Cash Flow Ratio Historical Data,Avantor Price to Free Cash Flow Ratio Historical Data,Avantor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.28,,16.04
2024-12-31,21.07,$1.01,20.76
2024-09-30,25.87,$1.10,23.6
2024-06-30,21.2,$1.08,19.63
2024-03-31,25.57,$0.94,27.17
2023-12-31,22.83,$1.07,21.4
2023-09-30,21.08,$1.02,20.6
2023-06-30,20.54,$1.06,19.29
2023-03-31,21.14,$1.14,18.54
2022-12-31,21.09,$1.05,20.18
2022-09-30,19.6,$1.23,16.0
2022-06-30,31.1,$1.28,24.33
2022-03-31,33.82,$1.40,24.11
2021-12-31,42.14,$1.41,29.99
2021-09-30,40.9,$1.45,28.18
2021-06-30,35.51,$1.54,23.05
2021-03-31,28.93,$1.26,22.88
2020-12-31,28.15,$1.49,18.92
2020-09-30,22.49,$1.37,16.41
2020-06-30,17.0,$1.16,14.59
2020-03-31,12.49,$1.17,10.7
