ADP Price to Free Cash Flow Ratio Historical Data,ADP Price to Free Cash Flow Ratio Historical Data,ADP Price to Free Cash Flow Ratio Historical Data,ADP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,297.51,,26.77
2024-12-31,292.73,$11.12,26.34
2024-09-30,275.3,$10.78,25.54
2024-06-30,236.27,$9.65,24.49
2024-03-31,245.79,$9.33,26.34
2023-12-31,227.97,$9.10,25.06
2023-09-30,234.0,$8.76,26.71
2023-06-30,212.71,$9.63,22.1
2023-03-31,214.22,$8.97,23.89
2022-12-31,228.53,$7.92,28.84
2022-09-30,215.37,$8.38,25.71
2022-06-30,199.14,$7.03,28.34
2022-03-31,214.69,$6.45,33.28
2021-12-31,231.51,$7.03,32.93
2021-09-30,186.87,$6.10,30.65
2021-06-30,184.81,$6.85,26.97
2021-03-31,174.55,$7.11,24.57
2020-12-31,162.35,$6.82,23.82
2020-09-30,127.84,$6.77,18.9
2020-06-30,135.52,$6.66,20.34
2020-03-31,123.62,$6.51,18.99
2019-12-31,153.14,$6.26,24.46
2019-09-30,144.2,$6.47,22.3
2019-06-30,146.96,$5.79,25.38
2019-03-31,141.32,$5.71,24.75
2018-12-31,115.39,$5.92,19.5
2018-09-30,131.83,$5.07,26.03
2018-06-30,116.83,$5.21,22.42
2018-03-31,98.33,$4.58,21.45
2017-12-31,101.0,$3.84,26.3
2017-09-30,93.71,$3.96,23.69
2017-06-30,87.37,$4.19,20.86
2017-03-31,86.82,$4.67,18.59
2016-12-31,86.68,$4.46,19.42
2016-09-30,73.95,$4.30,17.19
2016-06-30,76.57,$3.80,20.15
2016-03-31,74.32,$3.41,21.8
2015-12-31,69.76,$3.66,19.08
2015-09-30,65.71,$3.22,20.4
2015-06-30,65.24,$3.86,16.88
2015-03-31,69.23,$4.08,16.98
2014-12-31,67.01,$3.75,17.88
2014-09-30,58.37,$4.10,14.23
2014-06-30,55.38,$3.44,16.1
2014-03-31,53.64,$3.44,15.6
2013-12-31,55.75,$3.17,17.56
2013-09-30,49.64,$3.28,15.12
2013-06-30,46.95,$2.99,15.7
2013-03-31,44.05,$2.79,15.81
2012-12-31,38.3,$2.88,13.31
2012-09-30,39.16,$2.97,13.17
2012-06-30,36.91,$3.74,9.86
2012-03-31,36.32,$3.65,9.95
2011-12-31,35.29,$3.44,10.27
2011-09-30,30.58,$3.26,9.38
2011-06-30,33.91,$3.08,10.99
2011-03-31,32.81,$2.96,11.09
2010-12-31,29.38,$3.08,9.54
2010-09-30,26.48,$3.12,8.49
2010-06-30,25.15,$3.14,8.01
2010-03-31,27.55,$3.15,8.74
2009-12-31,26.32,$4.06,6.49
