AZZ Price to Free Cash Flow Ratio Historical Data,AZZ Price to Free Cash Flow Ratio Historical Data,AZZ Price to Free Cash Flow Ratio Historical Data,AZZ Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.68,,15.58
2024-11-30,93.14,$5.37,17.34
2024-08-31,82.99,$5.35,15.5
2024-05-31,83.51,$6.57,12.72
2024-02-29,72.32,$5.92,12.21
2023-11-30,48.71,$3.92,12.42
2023-08-31,48.47,$3.16,15.34
2023-05-31,34.33,$1.80,19.02
2023-02-28,39.79,$1.37,28.97
2022-11-30,40.59,$1.51,26.82
2022-08-31,41.34,$1.36,30.42
2022-05-31,43.24,$1.93,22.44
2022-02-28,47.39,$1.48,32.11
2021-11-30,49.78,$3.23,15.43
2021-08-31,51.2,$3.56,14.38
2021-05-31,50.98,$4.13,12.34
2021-02-28,48.53,$3.15,15.41
2020-11-30,42.21,$3.52,12.0
2020-08-31,32.72,$3.86,8.49
2020-05-31,29.67,$4.20,7.06
2020-02-29,34.36,$4.19,8.21
2019-11-30,35.32,$3.53,9.99
2019-08-31,38.12,$3.81,10.0
2019-05-31,38.72,$3.08,12.58
2019-02-28,42.2,$3.35,12.6
2018-11-30,43.6,$2.87,15.17
2018-08-31,48.91,$2.73,17.89
2018-05-31,39.23,$2.23,17.56
2018-02-28,36.92,$1.83,20.17
2017-11-30,43.29,$2.27,19.04
2017-08-31,43.86,$1.01,43.61
2017-05-31,48.49,$1.73,27.97
2017-02-28,52.28,$2.70,19.35
2016-11-30,57.86,$2.33,24.87
2016-08-31,58.86,$3.91,15.05
2016-05-31,52.17,$4.08,12.78
2016-02-29,44.52,$4.04,11.01
2015-11-30,52.33,$3.81,13.72
2015-08-31,44.35,$3.15,14.07
2015-05-31,41.88,$3.19,13.11
2015-02-28,39.56,$3.50,11.32
2014-11-30,38.87,$2.94,13.2
2014-08-31,40.08,$3.19,12.55
2014-05-31,38.39,$1.94,19.75
2014-02-28,38.14,$2.80,13.61
2013-11-30,41.88,$3.30,12.69
2013-08-31,32.05,$3.35,9.57
2013-05-31,35.28,$3.72,9.49
2013-02-28,37.85,$3.12,12.15
2012-11-30,32.2,$2.72,11.85
2012-08-31,26.73,$2.12,12.59
2012-05-31,22.48,$2.16,10.42
2012-02-29,20.93,$1.76,11.91
2011-11-30,17.57,$1.66,10.61
2011-08-31,19.53,$1.58,12.36
2011-05-31,18.11,$1.05,17.29
2011-02-28,17.41,$1.03,16.94
2010-11-30,15.12,$1.20,12.55
2010-08-31,16.09,$1.77,9.11
2010-05-31,14.78,$2.52,5.86
2010-02-28,12.5,$2.84,4.39
2009-11-30,13.36,$4.00,3.34
