Bragg Gaming Group Price to Free Cash Flow Ratio Historical Data,Bragg Gaming Group Price to Free Cash Flow Ratio Historical Data,Bragg Gaming Group Price to Free Cash Flow Ratio Historical Data,Bragg Gaming Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.41,,7.23
2024-09-30,5.02,$0.61,8.23
2024-06-30,5.77,$0.39,14.86
2024-03-31,6.17,$0.37,16.84
2023-12-31,5.05,$0.55,9.24
2023-09-30,4.86,$0.19,25.42
2023-06-30,3.07,$0.13,23.89
2023-03-31,3.56,$0.35,10.19
2022-12-31,3.85,$0.26,15.01
2022-09-30,4.06,$0.21,19.72
2022-06-30,4.59,$0.35,13.24
