Savara Price to Free Cash Flow Ratio Historical Data,Savara Price to Free Cash Flow Ratio Historical Data,Savara Price to Free Cash Flow Ratio Historical Data,Savara Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.86,,0.0
2024-09-30,4.24,$-0.42,0.0
2024-06-30,4.03,$-0.40,0.0
2024-03-31,4.98,$-0.35,0.0
2023-12-31,4.7,$-0.31,0.0
2023-09-30,3.78,$-0.26,0.0
2023-06-30,3.2,$-0.26,0.0
2023-03-31,1.95,$-0.25,0.0
2022-12-31,1.55,$-0.23,0.0
2022-09-30,1.55,$-0.27,0.0
2022-06-30,1.52,$-0.27,0.0
2022-03-31,1.31,$-0.23,0.0
2021-12-31,1.24,$-0.30,0.0
2021-09-30,1.38,$-0.42,0.0
2021-06-30,1.7,$-0.46,0.0
2021-03-31,2.08,$-0.57,0.0
2020-12-31,1.15,$-0.67,0.0
2020-09-30,1.09,$-0.74,0.0
2020-06-30,2.49,$-0.86,0.0
2020-03-31,2.12,$-1.05,0.0
2019-12-31,4.48,$-1.13,0.0
2019-09-30,2.65,$-1.19,0.0
2019-06-30,2.37,$-1.17,0.0
2019-03-31,7.37,$-1.18,0.0
2018-12-31,7.57,$-1.18,0.0
2018-09-30,11.16,$-1.70,0.0
2018-06-30,11.32,$-1.51,0.0
2018-03-31,9.2,$-1.95,0.0
