Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data,Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data,Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data,Nomura Holdings Inc ADR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.52,,0.0
2024-09-30,5.22,$-0.94,0.0
2024-03-31,6.24,$0.22,28.77
2023-12-31,4.38,$0.93,4.69
2023-09-30,3.91,$-1.31,0.0
2023-06-30,3.67,$-1.51,0.0
2023-03-31,3.64,$-2.57,0.0
2022-12-31,3.52,$-3.60,0.0
2022-09-30,3.09,$-4.80,0.0
2022-06-30,3.32,$-3.35,0.0
2022-03-31,3.91,$-3.90,0.0
2021-12-31,3.92,$-2.77,0.0
2021-09-30,4.47,$-1.29,0.0
2021-06-30,4.54,$-0.94,0.0
2021-03-31,4.78,$1.78,2.69
2020-12-31,4.64,$0.68,6.78
2020-09-30,3.99,$2.36,1.69
2020-06-30,3.72,$0.72,5.16
2020-03-31,3.57,$-0.04,0.0
2019-12-31,4.28,$1.26,3.4
2019-09-30,3.52,$-1.46,0.0
2019-06-30,2.85,$-0.54,0.0
2019-03-31,2.88,$-1.12,0.0
2018-12-31,2.96,$-1.05,0.0
2018-09-30,3.81,$-0.16,0.0
2018-06-30,3.8,$-0.21,0.0
2018-03-31,4.64,$-1.29,0.0
2017-12-31,4.53,$-0.99,0.0
2017-09-30,4.34,$-1.57,0.0
2017-06-30,4.64,$2.34,1.98
2017-03-31,4.81,$3.14,1.53
2016-12-31,4.46,$3.92,1.14
2016-09-30,3.36,$4.88,0.69
2016-06-30,2.61,$0.82,3.18
2016-03-31,3.3,$2.68,1.23
2015-12-31,4.1,$1.79,2.29
2015-09-30,4.3,$1.48,2.91
2015-06-30,4.92,$0.84,5.83
2015-03-31,4.27,$-0.31,0.0
2014-12-31,4.06,$-0.93,0.0
2014-09-30,4.23,$0.01,355.36
2014-06-30,5.03,$1.09,4.62
2014-03-31,4.6,$1.13,4.07
2013-12-31,5.56,$1.95,2.85
2013-09-30,5.59,$2.16,2.59
2013-06-30,5.28,$2.47,2.13
2013-03-31,4.38,$1.39,3.15
2012-12-31,4.13,$2.86,1.44
2012-09-30,2.5,$4.33,0.58
2012-06-30,2.58,$2.59,1.0
2012-03-31,3.08,$0.81,3.82
2011-12-31,2.07,$-0.49,0.0
2011-09-30,2.47,$-0.75,0.0
2011-06-30,3.38,$0.94,3.6
2011-03-31,3.57,$-1.02,0.0
2010-12-31,4.34,$-1.93,0.0
2010-09-30,3.25,$-5.33,0.0
2010-06-30,3.68,$-8.16,0.0
2010-03-31,4.95,$-4.65,0.0
2009-12-31,4.97,$-8.29,0.0
