Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data,Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data,Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data,Public Service Enterprise Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,83.3,,0.0
2024-12-31,84.49,$-2.49,0.0
2024-09-30,88.59,$-1.78,0.0
2024-06-30,72.65,$-1.95,0.0
2024-03-31,65.83,$-1.51,0.0
2023-12-31,59.73,$0.96,62.09
2023-09-30,55.08,$1.48,37.18
2023-06-30,60.03,$1.04,57.98
2023-03-31,59.34,$-0.14,0.0
2022-12-31,57.65,$-2.76,0.0
2022-09-30,52.43,$-3.00,0.0
2022-06-30,58.54,$-3.32,0.0
2022-03-31,64.24,$-3.15,0.0
2021-12-31,60.74,$-1.95,0.0
2021-09-30,54.99,$-2.21,0.0
2021-06-30,53.51,$-0.64,0.0
2021-03-31,53.49,$0.28,193.65
2020-12-31,51.33,$0.35,145.37
2020-09-30,47.93,$0.62,77.89
2020-06-30,42.51,$0.48,88.7
2020-03-31,38.5,$0.44,87.54
2019-12-31,50.14,$0.42,119.34
2019-09-30,52.28,$-0.27,0.0
2019-06-30,49.16,$-0.80,0.0
2019-03-31,49.27,$-1.31,0.0
2018-12-31,42.82,$-1.97,0.0
2018-09-30,43.08,$-2.27,0.0
2018-06-30,43.81,$-2.12,0.0
2018-03-31,40.3,$-1.93,0.0
2017-12-31,40.91,$-1.83,0.0
2017-09-30,36.44,$-1.92,0.0
2017-06-30,33.57,$-1.70,0.0
2017-03-31,34.29,$-1.77,0.0
2016-12-31,33.6,$-1.74,0.0
2016-09-30,31.74,$-1.23,0.0
2016-06-30,35.0,$-1.35,0.0
2016-03-31,35.07,$-1.43,0.0
2015-12-31,28.52,$0.11,258.84
2015-09-30,30.77,$0.36,85.49
2015-06-30,28.38,$1.20,23.56
2015-03-31,29.99,$1.51,19.92
2014-12-31,29.34,$0.67,43.84
2014-09-30,26.15,$1.24,21.12
2014-06-30,28.36,$1.24,22.9
2014-03-31,26.26,$1.38,19.04
2013-12-31,21.84,$0.68,31.97
2013-09-30,22.2,$0.40,55.28
2013-06-30,21.77,$0.10,212.21
2013-03-31,22.64,$-0.07,0.0
2012-12-31,19.96,$0.42,47.5
2012-09-30,20.74,$1.75,11.87
2012-06-30,20.71,$2.33,8.91
2012-03-31,19.29,$2.62,7.35
2011-12-31,20.56,$2.91,7.07
2011-09-30,20.56,$2.19,9.38
2011-06-30,19.91,$1.55,12.81
2011-03-31,19.02,$-0.19,0.0
2010-12-31,18.99,$0.01,0.0
2010-09-30,19.54,$-0.45,0.0
2010-06-30,18.31,$-0.60,0.0
2010-03-31,17.06,$-0.56,0.0
2009-12-31,19.01,$0.12,158.0
