Sagimet Biosciences Price to Free Cash Flow Ratio Historical Data,Sagimet Biosciences Price to Free Cash Flow Ratio Historical Data,Sagimet Biosciences Price to Free Cash Flow Ratio Historical Data,Sagimet Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.05,,0.0
2024-12-31,4.5,$-1.35,0.0
2024-09-30,2.77,$-2.33,0.0
2024-06-30,3.42,$-2.64,0.0
