Greene County Bancorp Price to Free Cash Flow Ratio Historical Data,Greene County Bancorp Price to Free Cash Flow Ratio Historical Data,Greene County Bancorp Price to Free Cash Flow Ratio Historical Data,Greene County Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.64,,17.57
2024-12-31,27.72,$1.35,20.6
2024-09-30,30.82,$1.15,26.75
2024-06-30,33.52,$1.37,24.39
2024-03-31,28.56,$1.30,21.91
2023-12-31,27.9,$1.45,19.26
2023-09-30,23.72,$1.65,14.4
2023-06-30,29.32,$1.56,18.79
2023-03-31,22.23,$1.81,12.28
2022-12-31,28.07,$1.80,15.55
2022-09-30,27.94,$1.88,14.89
2022-06-30,22.03,$2.01,10.94
2022-03-31,21.69,$1.88,11.56
2021-12-31,17.77,$1.70,10.43
2021-09-30,17.44,$1.66,10.5
2021-06-30,13.49,$1.56,8.67
2021-03-31,11.94,$1.37,8.7
2020-12-31,12.11,$1.48,8.16
2020-09-30,10.26,$1.46,7.01
2020-06-30,10.49,$1.50,6.99
2020-03-31,10.93,$1.37,7.97
2019-12-31,13.42,$1.37,9.81
2019-09-30,12.72,$1.39,9.12
2019-06-30,13.66,$1.23,11.08
2019-03-31,14.05,$1.24,11.32
2018-12-31,14.35,$1.19,12.03
2018-09-30,14.76,$0.98,15.04
2018-06-30,15.54,$1.19,13.04
2018-03-31,16.77,$1.04,16.16
2017-12-31,14.86,$0.94,15.8
2017-09-30,13.65,$1.03,13.25
2017-06-30,12.31,$0.82,15.0
2017-03-31,10.52,$0.82,12.8
2016-12-31,10.27,$0.80,12.92
2016-09-30,7.44,$0.81,9.14
2016-06-30,7.22,$0.78,9.21
2016-03-31,7.76,$0.79,9.85
2015-12-31,7.02,$0.78,8.98
2015-09-30,6.0,$0.73,8.27
2015-06-30,6.17,$0.71,8.71
2015-03-31,6.14,$0.72,8.52
2014-12-31,6.44,$0.56,11.43
2014-09-30,5.73,$0.58,9.83
2014-06-30,5.6,$0.64,8.79
2014-03-31,5.39,$0.67,8.03
2013-12-31,5.32,$0.66,8.12
2013-09-30,5.85,$0.67,8.71
2013-06-30,4.42,$0.60,7.35
2013-03-31,4.09,$0.54,7.65
2012-12-31,4.24,$0.67,6.37
2012-09-30,4.4,$0.59,7.43
2012-06-30,3.71,$0.60,6.21
2012-03-31,3.53,$0.59,5.98
2011-12-31,3.31,$0.56,5.89
2011-09-30,3.61,$0.52,6.91
2011-06-30,3.38,$0.53,6.41
2011-03-31,3.4,$0.45,7.54
2010-12-31,3.65,$0.49,7.45
2010-09-30,3.08,$0.43,7.14
2010-06-30,2.91,$0.37,7.82
2010-03-31,2.61,$0.31,8.38
2009-12-31,2.74,$0.35,7.81
