First Financial Northwest Price to Free Cash Flow Ratio Historical Data,First Financial Northwest Price to Free Cash Flow Ratio Historical Data,First Financial Northwest Price to Free Cash Flow Ratio Historical Data,First Financial Northwest Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.67,,0.0
2024-09-30,22.52,$-0.43,0.0
2024-06-30,21.13,$0.29,73.98
2024-03-31,20.43,$-0.28,0.0
2023-12-31,13.31,$0.40,33.25
2023-09-30,12.43,$1.44,8.61
2023-06-30,11.0,$1.42,7.77
2023-03-31,12.21,$2.14,5.71
2022-12-31,14.18,$2.98,4.76
2022-09-30,13.93,$2.88,4.84
2022-06-30,14.48,$2.69,5.39
2022-03-31,15.82,$2.25,7.05
2021-12-31,14.85,$1.74,8.55
2021-09-30,14.94,$1.47,10.16
2021-06-30,13.73,$1.25,11.0
2021-03-31,12.82,$1.30,9.86
2020-12-31,10.17,$0.99,10.24
2020-09-30,8.06,$1.02,7.89
2020-06-30,8.48,$1.16,7.33
2020-03-31,8.7,$0.81,10.72
2019-12-31,12.82,$1.00,12.79
2019-09-30,12.61,$1.05,11.98
2019-06-30,11.99,$0.72,16.7
2019-03-31,13.27,$1.26,10.56
2018-12-31,12.96,$1.57,8.28
2018-09-30,13.89,$1.13,12.34
2018-06-30,16.28,$1.43,11.37
2018-03-31,13.92,$1.21,11.53
2017-12-31,12.83,$0.89,14.41
2017-09-30,14.0,$1.50,9.33
2017-06-30,13.23,$1.38,9.61
2017-03-31,14.43,$1.44,10.0
2016-12-31,16.07,$1.28,12.53
2016-09-30,11.5,$1.07,10.76
2016-06-30,10.73,$0.94,11.4
2016-03-31,10.59,$1.30,8.16
2015-12-31,11.18,$1.09,10.24
2015-09-30,9.64,$1.06,9.11
2015-06-30,9.88,$1.23,8.05
2015-03-31,9.75,$0.87,11.23
2014-12-31,9.45,$1.23,7.66
2014-09-30,7.98,$1.29,6.2
2014-06-30,8.46,$1.11,7.65
2014-03-31,7.86,$1.16,6.78
2013-12-31,7.99,$0.91,8.75
2013-09-30,8.01,$0.89,9.01
2013-06-30,7.89,$0.79,10.01
2013-03-31,5.95,$0.77,7.74
2012-12-31,5.75,$0.74,7.76
2012-09-30,6.13,$0.15,39.71
2012-06-30,6.19,$1.03,6.0
2012-03-31,5.88,$1.08,5.45
2011-12-31,4.5,$1.15,3.9
2011-09-30,4.28,$1.68,2.55
2011-06-30,3.87,$0.83,4.66
2011-03-31,4.33,$1.54,2.81
2010-12-31,3.05,$1.38,2.21
2010-09-30,2.97,$1.08,2.74
2010-06-30,3.02,$0.94,3.22
2010-03-31,5.2,$0.12,44.41
2009-12-31,4.92,$0.32,15.29
