ConnectM Technology Solutions Price to Free Cash Flow Ratio Historical Data,ConnectM Technology Solutions Price to Free Cash Flow Ratio Historical Data,ConnectM Technology Solutions Price to Free Cash Flow Ratio Historical Data,ConnectM Technology Solutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.6,,0.0
2024-09-30,1.15,$-1.01,0.0
2024-06-30,11.3,$-1.00,0.0
2024-03-31,11.09,$-1.02,0.0
2023-12-31,10.86,$-1.00,0.0
2023-09-30,10.63,$-0.23,0.0
2023-06-30,10.45,$-0.40,0.0
2023-03-31,10.26,$-0.40,0.0
2022-12-31,10.03,$-0.27,0.0
2022-09-30,9.89,$-0.21,0.0
