Westlake Chemical Partners LP Price to Free Cash Flow Ratio Historical Data,Westlake Chemical Partners LP Price to Free Cash Flow Ratio Historical Data,Westlake Chemical Partners LP Price to Free Cash Flow Ratio Historical Data,Westlake Chemical Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.43,,1.89
2024-12-31,23.14,$12.38,1.87
2024-09-30,21.95,$11.69,1.88
2024-06-30,21.66,$10.94,1.98
2024-03-31,20.86,$10.44,2.0
2023-12-31,19.94,$11.50,1.73
2023-09-30,19.6,$12.05,1.63
2023-06-30,19.15,$12.56,1.52
2023-03-31,19.0,$12.99,1.46
2022-12-31,19.91,$11.63,1.71
2022-09-30,17.83,$7.81,2.28
2022-06-30,20.28,$7.41,2.74
2022-03-31,21.66,$7.64,2.84
2021-12-31,21.11,$9.30,2.27
2021-09-30,18.78,$10.59,1.77
2021-06-30,20.41,$11.17,1.83
2021-03-31,17.9,$10.80,1.66
2020-12-31,17.42,$9.56,1.82
2020-09-30,13.36,$11.99,1.11
2020-06-30,13.17,$12.23,1.08
2020-03-31,10.03,$11.48,0.87
2019-12-31,17.57,$11.80,1.49
2019-09-30,15.15,$11.66,1.3
2019-06-30,15.7,$11.31,1.39
2019-03-31,14.22,$12.43,1.14
2018-12-31,14.83,$12.29,1.21
2018-09-30,15.03,$13.10,1.15
2018-06-30,14.56,$14.76,0.99
2018-03-31,13.04,$14.84,0.88
2017-12-31,14.32,$16.50,0.87
2017-09-30,12.81,$15.64,0.82
2017-06-30,13.76,$7.00,1.96
2017-03-31,13.79,$2.97,4.64
2016-12-31,11.71,$-0.44,0.0
2016-09-30,12.16,$-1.79,0.0
2016-06-30,10.49,$3.84,2.73
2016-03-31,10.19,$6.70,1.52
2015-12-31,11.28,$8.18,1.38
2015-09-30,8.75,$8.80,0.99
2015-06-30,10.72,$19.79,0.54
