Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data,Steel Dynamics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,126.64,,0.0
2024-12-31,114.07,$-0.15,0.0
2024-09-30,126.08,$2.55,49.42
2024-06-30,129.03,$5.10,25.3
2024-03-31,147.17,$8.06,18.26
2023-12-31,116.89,$11.12,10.51
2023-09-30,105.74,$13.19,8.02
2023-06-30,107.0,$16.93,6.32
2023-03-31,110.63,$18.77,5.9
2022-12-31,95.23,$19.24,4.95
2022-09-30,68.92,$17.63,3.91
2022-06-30,63.95,$12.53,5.1
2022-03-31,80.25,$9.44,8.5
2021-12-31,59.46,$5.80,10.26
2021-09-30,55.79,$2.36,23.67
2021-06-30,56.61,$-0.56,0.0
2021-03-31,48.0,$-1.19,0.0
2020-12-31,34.69,$-0.99,0.0
2020-09-30,26.75,$1.09,24.65
2020-06-30,24.17,$3.27,7.39
2020-03-31,20.68,$3.68,5.61
2019-12-31,30.88,$4.28,7.22
2019-09-30,26.84,$4.99,5.38
2019-06-30,26.98,$5.13,5.26
2019-03-31,31.26,$5.03,6.22
2018-12-31,26.45,$5.00,5.29
2018-09-30,39.53,$3.81,10.38
2018-06-30,40.03,$3.08,13.01
2018-03-31,38.37,$2.10,18.28
2017-12-31,37.26,$2.38,15.68
2017-09-30,29.67,$2.28,12.99
2017-06-30,30.69,$2.08,14.78
2017-03-31,29.66,$2.40,12.33
2016-12-31,30.22,$2.67,11.33
2016-09-30,21.15,$3.46,6.12
2016-06-30,20.62,$3.45,5.98
2016-03-31,18.83,$4.13,4.56
2015-12-31,14.86,$3.88,3.83
2015-09-30,14.18,$3.80,3.73
2015-06-30,16.95,$4.18,4.06
2015-03-31,16.35,$3.18,5.14
2014-12-31,15.94,$2.13,7.47
2014-09-30,18.15,$1.00,18.18
2014-06-30,14.34,$0.63,22.77
2014-03-31,14.12,$0.37,37.73
2013-12-31,15.41,$0.52,29.39
2013-09-30,13.11,$0.99,13.3
2013-06-30,11.62,$0.70,16.55
2013-03-31,12.28,$0.98,12.59
2012-12-31,10.54,$0.94,11.23
2012-09-30,8.57,$0.44,19.26
2012-06-30,8.86,$0.95,9.29
2012-03-31,10.89,$1.31,8.29
2011-12-31,9.78,$1.35,7.23
2011-09-30,7.32,$1.06,6.89
2011-06-30,11.88,$0.56,21.29
2011-03-31,13.64,$-0.09,0.0
2010-12-31,13.22,$0.15,86.44
2010-09-30,10.16,$0.17,58.94
2010-06-30,9.44,$-0.07,0.0
2010-03-31,12.44,$-0.02,0.0
2009-12-31,12.56,$0.58,21.83
