Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data,Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data,Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data,Arbor Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.36,,5.38
2024-12-31,13.85,$2.30,6.03
2024-09-30,15.11,$2.44,6.2
2024-06-30,13.5,$2.28,5.92
2024-03-31,12.09,$2.51,4.82
2023-12-31,13.41,$1.08,12.44
2023-09-30,12.95,$2.30,5.63
2023-06-30,12.32,$2.07,5.94
2023-03-31,9.25,$0.75,12.4
2022-12-31,10.03,$5.52,1.82
2022-09-30,8.5,$5.33,1.6
2022-06-30,9.46,$0.57,16.5
2022-03-31,12.03,$2.49,4.83
2021-12-31,12.65,$1.39,9.11
2021-09-30,12.56,$-1.85,0.0
2021-06-30,11.85,$1.17,10.16
2021-03-31,10.38,$5.67,1.83
2020-12-31,9.07,$0.48,19.02
2020-09-30,7.16,$-0.12,0.0
2020-06-30,5.61,$2.78,2.02
2020-03-31,2.88,$-6.22,0.0
2019-12-31,8.25,$-1.95,0.0
2019-09-30,7.39,$2.07,3.57
2019-06-30,6.67,$-1.30,0.0
2019-03-31,6.98,$1.84,3.8
2018-12-31,5.31,$-0.41,0.0
2018-09-30,5.84,$-0.88,0.0
2018-06-30,5.19,$2.05,2.54
2018-03-31,4.27,$4.98,0.86
2017-12-31,4.09,$5.72,0.71
2017-09-30,3.79,$-1.11,0.0
2017-06-30,3.77,$-0.31,0.0
2017-03-31,3.71,$-2.17,0.0
2016-12-31,3.23,$-2.90,0.0
2016-09-30,3.14,$3.21,0.98
2016-06-30,2.98,$2.02,1.48
2016-03-31,2.75,$1.31,2.09
2015-12-31,2.84,$1.45,1.95
2015-09-30,2.47,$1.54,1.61
2015-06-30,2.56,$1.45,1.77
2015-03-31,2.59,$1.28,2.03
2014-12-31,2.46,$0.95,2.59
2014-09-30,2.41,$0.30,7.96
2014-06-30,2.44,$0.35,6.94
2014-03-31,2.38,$0.43,5.51
2013-12-31,2.25,$0.34,6.64
2013-09-30,2.25,$0.91,2.48
2013-06-30,2.05,$0.60,3.41
2013-03-31,2.51,$1.56,1.61
2012-12-31,1.89,$1.56,1.21
2012-09-30,1.84,$1.32,1.4
2012-06-30,1.62,$1.49,1.09
2012-03-31,1.68,$0.44,3.85
2011-12-31,1.06,$-0.01,0.0
2011-09-30,1.13,$0.32,3.49
2011-06-30,1.4,$0.38,3.71
2011-03-31,1.7,$0.17,9.97
2010-12-31,1.79,$1.06,1.69
2010-09-30,1.51,$0.83,1.82
2010-06-30,1.54,$0.91,1.69
2010-03-31,0.97,$1.93,0.5
2009-12-31,0.6,$1.84,0.32
