SmartRent Price to Free Cash Flow Ratio Historical Data,SmartRent Price to Free Cash Flow Ratio Historical Data,SmartRent Price to Free Cash Flow Ratio Historical Data,SmartRent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.19,,0.0
2024-12-31,1.75,$-0.20,0.0
2024-09-30,1.73,$-0.10,0.0
2024-06-30,2.39,$0.01,0.0
2024-03-31,2.68,$0.05,56.18
2023-12-31,3.19,$0.01,290.0
2023-09-30,2.61,$-0.02,0.0
2023-06-30,3.83,$-0.32,0.0
2023-03-31,2.55,$-0.33,0.0
2022-12-31,2.43,$-0.42,0.0
2022-09-30,2.27,$-0.88,0.0
2022-06-30,4.52,$8.07,0.56
2022-03-31,5.06,$-0.26,0.0
2021-12-31,9.68,$-0.96,0.0
