First Bank Price to Free Cash Flow Ratio Historical Data,First Bank Price to Free Cash Flow Ratio Historical Data,First Bank Price to Free Cash Flow Ratio Historical Data,First Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.88,,4.12
2024-09-30,15.14,$3.61,4.19
2024-06-30,12.64,$7.20,1.75
2024-03-31,13.56,$6.36,2.13
2023-12-31,14.45,$6.38,2.27
2023-09-30,10.54,$4.49,2.35
2023-06-30,10.1,$1.73,5.83
2023-03-31,9.76,$1.81,5.39
2022-12-31,13.24,$1.77,7.47
2022-09-30,13.1,$1.88,6.99
2022-06-30,13.35,$1.37,9.71
2022-03-31,13.52,$1.29,10.48
2021-12-31,13.74,$1.44,9.52
2021-09-30,13.29,$1.56,8.51
2021-06-30,12.74,$1.64,7.77
2021-03-31,11.43,$1.45,7.86
2020-12-31,8.78,$1.21,7.28
2020-09-30,5.79,$0.85,6.82
2020-06-30,6.06,$0.75,8.08
2020-03-31,6.42,$0.86,7.44
2019-12-31,10.19,$0.77,13.16
2019-09-30,9.96,$1.16,8.61
2019-06-30,10.77,$1.93,5.57
2019-03-31,10.55,$1.85,5.71
2018-12-31,11.06,$1.89,5.85
2018-09-30,11.97,$1.44,8.31
2018-06-30,12.63,$0.39,32.24
2018-03-31,13.05,$0.23,57.42
2015-12-31,5.94,0,0.0
2015-09-30,5.58,0,0.0
2015-06-30,5.39,0,0.0
2015-03-31,5.42,0,0.0
2014-12-31,5.61,0,0.0
2014-09-30,5.53,$727.70,0.01
2014-06-30,5.39,"$2,340.01",0.0
2014-03-31,5.84,"$2,723.93",0.0
2013-12-31,5.69,"$4,878.58",0.0
2013-09-30,5.39,"$4,481.30",0.0
2013-06-30,4.94,"$3,447.32",0.0
2013-03-31,4.81,"$4,250.07",0.0
2012-12-31,4.9,"$2,125.27",0.0
2012-09-30,4.49,"$2,907.82",0.0
2012-06-30,4.27,"$2,550.95",0.0
2012-03-31,4.8,"$2,446.56",0.0
2011-12-31,4.27,"$4,699.00",0.0
2011-09-30,4.49,"$6,356.41",0.0
