Yatra Online Price to Free Cash Flow Ratio Historical Data,Yatra Online Price to Free Cash Flow Ratio Historical Data,Yatra Online Price to Free Cash Flow Ratio Historical Data,Yatra Online Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.83,,0.0
2024-12-31,1.26,$-0.01,0.0
2024-09-30,1.71,$-0.21,0.0
2024-06-30,1.19,$-0.15,0.0
2024-03-31,1.59,$-0.28,0.0
2023-12-31,1.63,$-0.34,0.0
2023-09-30,2.01,$-0.26,0.0
2023-06-30,1.98,$-0.32,0.0
2023-03-31,2.28,$-0.38,0.0
2022-12-31,2.41,$-0.35,0.0
2022-09-30,2.23,$-0.37,0.0
2022-06-30,2.25,$-0.28,0.0
2022-03-31,1.98,$-0.21,0.0
2021-12-31,1.73,$-0.21,0.0
2021-09-30,2.02,$-0.07,0.0
2021-06-30,2.26,$-0.23,0.0
2021-03-31,2.33,$0.18,12.95
2020-12-31,1.93,$0.12,15.58
2020-09-30,0.75,$0.65,1.16
2020-06-30,0.68,$0.59,1.15
2019-12-31,3.15,$0.21,14.82
2019-09-30,4.12,$0.70,5.9
2018-09-30,5.58,$-0.54,0.0
2018-03-31,6.61,$-0.49,0.0
2017-12-31,7.48,$-1.21,0.0
2017-09-30,10.83,$-1.95,0.0
