Tempest Therapeutics Price to Free Cash Flow Ratio Historical Data,Tempest Therapeutics Price to Free Cash Flow Ratio Historical Data,Tempest Therapeutics Price to Free Cash Flow Ratio Historical Data,Tempest Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.81,,0.0
2024-09-30,1.4,$-1.18,0.0
2024-06-30,2.19,$-1.31,0.0
2024-03-31,3.91,$-1.51,0.0
2023-12-31,4.4,$-1.79,0.0
2023-09-30,0.3,$-2.43,0.0
2023-06-30,1.27,$-2.44,0.0
2023-03-31,2.32,$-2.35,0.0
2022-12-31,1.15,$-2.74,0.0
2022-09-30,1.74,$-6.01,0.0
2022-06-30,2.15,$-1.46,0.0
2022-03-31,3.38,$4.60,0.74
2021-12-31,5.28,$-6.88,0.0
2021-09-30,14.47,$-12.88,0.0
2021-06-30,11.18,$-25.34,0.0
2021-03-31,18.0,$-44.94,0.0
2020-12-31,32.1,$-40.74,0.0
2020-09-30,24.45,$-42.68,0.0
2020-06-30,26.4,$-43.67,0.0
2020-03-31,79.2,$-41.89,0.0
2019-12-31,101.1,$-45.52,0.0
2019-09-30,106.65,$53.09,2.01
2019-06-30,173.4,$-37.56,0.0
2019-03-31,225.0,$-124.83,0.0
2018-12-31,119.25,$-229.52,0.0
2018-09-30,164.2,"$-1,238.33",0.0
2018-06-30,204.16,"$-1,203.18",0.0
2018-03-31,182.47,"$-1,180.09",0.0
2017-12-31,315.0,"$-1,159.72",0.0
2017-09-30,319.5,$-384.98,0.0
2017-06-30,351.0,$-381.31,0.0
2017-03-31,420.75,$-416.03,0.0
2016-12-31,344.25,$-449.72,0.0
2016-09-30,1611.0,$-422.48,0.0
2016-06-30,1172.25,$-473.62,0.0
2016-03-31,2135.25,$-465.66,0.0
2015-12-31,2198.25,$-460.71,0.0
2015-09-30,1910.25,$-468.14,0.0
2015-06-30,6509.24,$-438.36,0.0
2015-03-31,7814.24,$-398.36,0.0
2014-12-31,9949.49,$-331.42,0.0
2014-09-30,3735.0,$-281.89,0.0
2014-06-30,2063.25,$-256.81,0.0
2014-03-31,2011.5,$-248.30,0.0
2013-12-31,2056.5,$-261.68,0.0
2013-09-30,2229.75,$-647.89,0.0
