Healthcare Services Price to Free Cash Flow Ratio Historical Data,Healthcare Services Price to Free Cash Flow Ratio Historical Data,Healthcare Services Price to Free Cash Flow Ratio Historical Data,Healthcare Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.55,,31.63
2024-12-31,11.62,$0.33,34.83
2024-09-30,11.17,$0.51,21.95
2024-06-30,10.58,$0.48,21.9
2024-03-31,12.48,$0.36,34.24
2023-12-31,10.37,$0.51,20.18
2023-09-30,10.43,$0.16,63.37
2023-06-30,14.93,$-0.00,0.0
2023-03-31,13.87,$0.02,820.71
2022-12-31,12.0,$-0.17,0.0
2022-09-30,11.9,$-0.07,0.0
2022-06-30,16.9,$-0.25,0.0
2022-03-31,17.8,$-0.04,0.0
2021-12-31,16.82,$0.42,39.86
2021-09-30,23.37,$1.01,23.03
2021-06-30,29.28,$1.99,14.7
2021-03-31,25.82,$2.73,9.47
2020-12-31,25.7,$2.85,9.02
2020-09-30,19.52,$2.02,9.64
2020-06-30,21.97,$2.17,10.11
2020-03-31,21.28,$1.14,18.64
2019-12-31,21.5,$1.20,17.93
2019-09-30,21.3,$1.09,19.49
2019-06-30,26.35,$0.92,28.67
2019-03-31,28.49,$0.93,30.64
2018-12-31,34.53,$1.02,34.02
2018-09-30,34.76,$1.00,34.84
2018-06-30,36.79,$0.49,74.63
2018-03-31,36.84,$-0.11,0.0
2017-12-31,44.49,$0.03,1285.97
2017-09-30,45.38,$0.02,2150.53
2017-06-30,39.23,$0.13,292.97
2017-03-31,35.95,$0.83,43.27
2016-12-31,32.53,$0.49,65.98
2016-09-30,32.71,$0.60,54.35
2016-06-30,34.04,$0.61,55.55
2016-03-31,30.13,$1.03,29.31
2015-12-31,28.39,$0.81,35.12
2015-09-30,27.31,$1.11,24.57
2015-06-30,26.64,$0.99,26.99
2015-03-31,25.75,$0.39,66.63
2014-12-31,24.66,$0.73,33.82
2014-09-30,22.68,$0.62,36.51
2014-06-30,23.19,$0.40,57.49
2014-03-31,22.75,$0.73,31.21
2013-12-31,22.07,$0.41,54.14
2013-09-30,19.92,$0.43,46.46
2013-06-30,18.83,$0.64,29.62
2013-03-31,19.53,$0.62,31.49
2012-12-31,17.58,$0.83,21.16
2012-09-30,17.19,$0.66,25.98
2012-06-30,14.46,$0.59,24.52
2012-03-31,15.75,$0.47,33.78
2011-12-31,12.99,$0.41,32.02
2011-09-30,11.75,$0.53,22.29
2011-06-30,11.71,$0.50,23.35
2011-03-31,12.54,$0.61,20.53
2010-12-31,11.51,$0.50,22.94
2010-09-30,10.64,$0.24,45.16
2010-06-30,8.76,$0.52,16.7
2010-03-31,10.27,$0.25,40.34
2009-12-31,9.72,$0.55,17.76
