Solid Power Price to Free Cash Flow Ratio Historical Data,Solid Power Price to Free Cash Flow Ratio Historical Data,Solid Power Price to Free Cash Flow Ratio Historical Data,Solid Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.1,,0.0
2024-12-31,1.89,$-0.44,0.0
2024-09-30,1.35,$-0.41,0.0
2024-06-30,1.65,$-0.47,0.0
2024-03-31,2.03,$-0.53,0.0
2023-12-31,1.45,$-0.52,0.0
2023-09-30,2.02,$-0.54,0.0
2023-06-30,2.54,$-0.54,0.0
2023-03-31,3.01,$-0.56,0.0
2022-12-31,2.54,$-0.53,0.0
2022-09-30,5.26,$-0.78,0.0
