Pharming Group Price to Free Cash Flow Ratio Historical Data,Pharming Group Price to Free Cash Flow Ratio Historical Data,Pharming Group Price to Free Cash Flow Ratio Historical Data,Pharming Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.93,,0.0
2024-09-30,8.25,$-0.05,0.0
2024-06-30,8.35,$-1.12,0.0
2024-03-31,10.84,$-0.02,0.0
2023-12-31,11.43,$-0.26,0.0
2023-09-30,11.4,$-0.21,0.0
2023-06-30,11.65,$0.74,15.65
2023-03-31,13.5,$-0.05,0.0
2022-09-30,9.84,$0.31,31.89
