Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data,Citizens Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,40.99,,9.89
2024-12-31,43.76,$4.14,10.56
2024-09-30,40.67,$4.46,9.12
2024-06-30,35.33,$6.34,5.57
2024-03-31,35.15,$4.76,7.38
2023-12-31,31.71,$5.85,5.42
2023-09-30,25.2,$7.86,3.21
2023-06-30,24.19,$11.59,2.09
2023-03-31,27.74,$7.08,3.92
2022-12-31,35.6,$8.36,4.26
2022-09-30,30.75,$7.54,4.08
2022-06-30,31.59,$4.60,6.87
2022-03-31,39.73,$10.21,3.89
2021-12-31,41.1,$5.03,8.17
2021-09-30,40.54,$4.34,9.34
2021-06-30,39.22,$3.08,12.73
2021-03-31,37.44,$1.48,25.37
2020-12-31,30.02,$-0.02,0.0
2020-09-30,20.91,$-0.28,0.0
2020-06-30,20.55,$-1.11,0.0
2020-03-31,15.05,$-0.63,0.0
2019-12-31,32.16,$3.55,9.06
2019-09-30,27.73,$3.06,9.06
2019-06-30,27.46,$1.71,16.04
2019-03-31,25.02,$2.87,8.7
2018-12-31,22.68,$3.20,7.1
2018-09-30,29.2,$2.78,10.52
2018-06-30,29.26,$5.02,5.83
2018-03-31,31.4,$2.97,10.58
2017-12-31,31.25,$3.24,9.66
2017-09-30,28.06,$3.02,9.28
2017-06-30,26.3,$2.23,11.81
2017-03-31,25.37,$3.53,7.19
2016-12-31,26.07,$2.59,10.08
2016-09-30,18.0,$2.83,6.36
2016-06-30,14.47,$2.48,5.84
2016-03-31,15.1,$2.62,5.77
2015-12-31,18.78,$2.09,9.0
2015-09-30,17.04,$1.60,10.63
2015-06-30,19.43,$3.15,6.17
