Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data,Pentair Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.3,,21.29
2024-12-31,100.64,$4.15,24.27
2024-09-30,97.56,$4.36,22.39
2024-06-30,76.27,$3.81,20.03
2024-03-31,84.75,$3.28,25.81
2023-12-31,71.89,$3.30,21.78
2023-09-30,63.79,$3.14,20.32
2023-06-30,63.43,$2.72,23.28
2023-03-31,54.05,$1.86,29.08
2022-12-31,43.79,$1.70,25.69
2022-09-30,39.34,$1.58,24.84
2022-06-30,44.12,$2.13,20.68
2022-03-31,52.05,$2.60,20.02
2021-12-31,69.89,$3.32,21.02
2021-09-30,69.33,$3.34,20.75
2021-06-30,64.23,$3.67,17.52
2021-03-31,59.13,$3.96,14.94
2020-12-31,50.2,$3.06,16.43
2020-09-30,43.12,$3.15,13.67
2020-06-30,35.63,$2.75,12.94
2020-03-31,27.74,$2.24,12.38
2019-12-31,42.58,$1.73,24.59
2019-09-30,34.92,$2.09,16.72
2019-06-30,34.2,$1.75,19.49
2019-03-31,40.73,$1.61,25.28
2018-12-31,34.42,$2.21,15.6
2018-09-30,39.32,$2.76,14.26
2018-06-30,38.01,$3.29,11.57
2018-03-31,41.71,$2.90,14.38
2017-12-31,43.03,$3.18,13.52
2017-09-30,41.21,$3.77,10.92
2017-06-30,40.14,$3.60,11.14
2017-03-31,37.66,$4.10,9.19
2016-12-31,33.45,$4.57,7.32
2016-09-30,38.1,$4.40,8.66
2016-06-30,34.39,$4.51,7.63
2016-03-31,31.82,$4.26,7.46
2015-12-31,28.84,$3.57,8.07
2015-09-30,29.54,$3.53,8.38
2015-06-30,39.59,$3.74,10.58
2015-03-31,36.02,$3.98,9.05
2014-12-31,37.85,$4.78,7.91
2014-09-30,37.14,$4.71,7.89
2014-06-30,40.73,$4.50,9.06
2014-03-31,44.66,$3.75,11.91
2013-12-31,43.58,$3.73,11.67
2013-09-30,36.3,$-0.22,0.0
2013-06-30,32.11,$-0.69,0.0
2013-03-31,29.24,$0.32,90.72
2012-12-31,27.13,$-0.36,0.0
2012-09-30,24.29,$2.62,9.28
2012-06-30,20.9,$2.74,7.63
2012-03-31,25.87,$2.33,11.12
2011-12-31,17.98,$2.53,7.11
2011-09-30,17.2,$1.93,8.91
2011-06-30,21.57,$2.02,10.68
2011-03-31,20.09,$1.73,11.59
2010-12-31,19.31,$2.13,9.08
2010-09-30,17.68,$2.13,8.29
2010-06-30,16.84,$2.38,7.07
2010-03-31,18.53,$2.20,8.44
2009-12-31,16.7,$2.09,8.01
