Designer Brands Price to Free Cash Flow Ratio Historical Data,Designer Brands Price to Free Cash Flow Ratio Historical Data,Designer Brands Price to Free Cash Flow Ratio Historical Data,Designer Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.04,,0.0
2024-10-31,5.17,$-1.41,0.0
2024-07-31,8.03,$-0.07,0.0
2024-04-30,9.14,$0.97,9.38
2024-01-31,8.4,$1.69,4.95
2023-10-31,9.86,$4.70,2.1
2023-07-31,9.67,$3.88,2.49
2023-04-30,7.92,$2.84,2.79
2023-01-31,9.91,$2.03,4.88
2022-10-31,14.56,$-0.11,0.0
2022-07-31,13.76,$0.50,27.45
2022-04-30,13.13,$1.19,10.99
2022-01-31,12.47,$1.79,6.96
2021-10-31,12.81,$1.12,11.39
2021-07-31,13.79,$-0.08,0.0
2021-04-30,16.76,$-1.90,0.0
2021-01-31,11.6,$-2.56,0.0
2020-10-31,4.1,$-1.05,0.0
2020-07-31,5.6,$0.26,21.15
2020-04-30,6.01,$1.20,5.02
2020-01-31,13.27,$1.59,8.32
2019-10-31,15.13,$0.98,15.51
2019-07-31,16.61,$0.36,45.53
2019-04-30,19.84,$0.93,21.34
2019-01-31,24.3,$1.37,17.68
2018-10-31,23.43,$1.64,14.26
2018-07-31,24.03,$2.39,10.04
2018-04-30,19.34,$1.89,10.21
2018-01-31,17.17,$1.67,10.28
2017-10-31,16.26,$2.30,7.07
2017-07-31,15.16,$1.62,9.37
2017-04-30,17.14,$1.59,10.81
2017-01-31,17.41,$1.53,11.41
2016-10-31,16.95,$1.31,12.91
2016-07-31,19.63,$1.00,19.62
2016-04-30,19.69,$1.15,17.14
2016-01-31,19.1,$1.60,11.95
2015-10-31,19.68,$1.17,16.75
2015-07-31,25.48,$1.25,20.31
2015-04-30,28.26,$1.47,19.26
2015-01-31,27.56,$1.09,25.25
2014-10-31,22.86,$1.51,15.11
2014-07-31,20.38,$1.78,11.47
2014-04-30,25.42,$1.99,12.77
2014-01-31,28.52,$2.34,12.19
2013-10-31,33.1,$1.79,18.51
2013-07-31,28.53,$1.88,15.2
2013-04-30,24.81,$1.45,17.08
2013-01-31,25.11,$1.37,18.34
2012-10-31,23.35,$2.10,11.13
2012-07-31,21.36,$2.04,10.49
2012-04-30,20.26,$2.01,10.09
2012-01-31,17.95,$1.88,9.56
2011-10-31,18.74,$2.17,8.62
2011-07-31,18.13,$2.38,7.63
2011-04-30,16.25,$1.70,9.53
2011-01-31,11.39,$1.84,6.18
2010-10-31,11.39,$0.52,21.76
2010-07-31,9.11,$0.91,10.02
2010-04-30,10.34,$1.31,7.86
2010-01-31,8.25,$1.24,6.65
2009-10-31,6.57,$1.40,4.69
