Norwood Financial Price to Free Cash Flow Ratio Historical Data,Norwood Financial Price to Free Cash Flow Ratio Historical Data,Norwood Financial Price to Free Cash Flow Ratio Historical Data,Norwood Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.77,,10.13
2024-12-31,27.21,$2.45,11.13
2024-09-30,27.29,$2.79,9.8
2024-06-30,24.84,$3.38,7.35
2024-03-31,26.3,$2.83,9.31
2023-12-31,31.49,$3.60,8.76
2023-09-30,24.38,$3.51,6.95
2023-06-30,27.67,$3.42,8.09
2023-03-31,27.28,$3.62,7.53
2022-12-31,30.75,$3.72,8.27
2022-09-30,24.19,$3.78,6.39
2022-06-30,21.83,$3.72,5.87
2022-03-31,25.47,$3.88,6.56
2021-12-31,22.92,$3.46,6.62
2021-09-30,22.26,$3.50,6.35
2021-06-30,22.47,$3.56,6.31
2021-03-31,22.77,$2.02,11.25
2020-12-31,22.18,$1.89,11.73
2020-09-30,20.4,$1.66,12.28
2020-06-30,20.62,$1.43,14.39
2020-03-31,22.0,$2.96,7.43
2019-12-31,31.84,$2.78,11.44
2019-09-30,25.67,$2.74,9.37
2019-06-30,28.07,$2.74,10.24
2019-03-31,24.68,$2.97,8.32
2018-12-31,26.21,$2.73,9.58
2018-09-30,30.92,$3.13,9.89
2018-06-30,28.27,$2.93,9.66
2018-03-31,23.44,$2.70,8.67
2017-12-31,25.53,$2.91,8.76
2017-09-30,23.43,$2.67,8.76
2017-06-30,21.46,$2.58,8.31
2017-03-31,21.11,$2.08,10.14
2016-12-31,16.53,$1.98,8.34
2016-09-30,14.35,$2.08,6.89
2016-06-30,13.67,$2.15,6.36
2016-03-31,13.21,$2.26,5.83
2015-12-31,13.73,$2.62,5.24
2015-09-30,13.7,$2.47,5.56
2015-06-30,13.71,$2.54,5.39
2015-03-31,12.81,$2.45,5.22
2014-12-31,13.3,$2.08,6.41
2014-09-30,12.96,$2.08,6.24
2014-06-30,12.78,$2.10,6.1
2014-03-31,12.7,$2.25,5.63
2013-12-31,11.82,$2.35,5.03
2013-09-30,12.59,$2.26,5.56
2013-06-30,12.49,$2.48,5.04
2013-03-31,11.86,$2.60,4.57
2012-12-31,11.41,$2.65,4.31
2012-09-30,11.48,$2.52,4.55
2012-06-30,10.72,$2.43,4.41
2012-03-31,9.86,$2.30,4.28
2011-12-31,10.11,$2.11,4.79
2011-09-30,8.73,$2.11,4.14
2011-06-30,9.4,$1.81,5.19
2011-03-31,9.7,$1.75,5.53
2010-12-31,9.78,$1.85,5.27
2010-09-30,9.76,$1.31,7.47
2010-06-30,8.7,$1.24,7.01
2010-03-31,9.21,$1.37,6.72
2009-12-31,9.65,$1.29,7.51
