Columbia Banking System Price to Free Cash Flow Ratio Historical Data,Columbia Banking System Price to Free Cash Flow Ratio Historical Data,Columbia Banking System Price to Free Cash Flow Ratio Historical Data,Columbia Banking System Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,24.62,,8.27
2024-12-31,27.01,$2.98,9.07
2024-09-30,25.81,$2.48,10.42
2024-06-30,19.38,$4.10,4.73
2024-03-31,18.5,$4.76,3.89
2023-12-31,25.01,$3.63,6.9
2023-09-30,18.72,$4.09,4.57
2023-06-30,18.37,$4.64,3.96
2023-03-31,19.07,$5.64,3.38
2022-12-31,26.58,$8.00,3.32
2022-09-30,25.23,$9.17,2.75
2022-06-30,24.77,$7.57,3.27
2022-03-31,27.62,$6.21,4.44
2021-12-31,27.77,$4.94,5.62
2021-09-30,31.96,$3.33,9.59
2021-06-30,32.19,$3.31,9.71
2021-03-31,35.74,$2.56,13.98
2020-12-31,29.58,$2.63,11.24
2020-09-30,19.49,$2.62,7.45
2020-06-30,22.94,$2.66,8.63
2020-03-31,21.39,$3.04,7.04
2019-12-31,32.07,$2.85,11.27
2019-09-30,28.89,$3.07,9.42
2019-06-30,28.1,$3.05,9.2
2019-03-31,25.1,$3.42,7.35
2018-12-31,27.55,$3.34,8.25
2018-09-30,29.12,$2.82,10.32
2018-06-30,30.53,$2.74,11.14
2018-03-31,31.12,$2.13,14.63
2017-12-31,32.06,$2.25,14.28
2017-09-30,30.92,$2.37,13.06
2017-06-30,29.1,$2.39,12.15
2017-03-31,28.31,$2.84,9.96
2016-12-31,32.27,$2.64,12.22
2016-09-30,23.35,$2.76,8.46
2016-06-30,19.78,$2.66,7.45
2016-03-31,20.82,$2.50,8.33
2015-12-31,22.32,$2.49,8.95
2015-09-30,21.21,$2.80,7.56
2015-06-30,21.88,$2.52,8.67
2015-03-31,19.26,$2.35,8.18
2014-12-31,18.16,$2.41,7.55
2014-09-30,16.14,$1.82,8.87
2014-06-30,16.92,$1.92,8.82
2014-03-31,18.17,$1.61,11.28
2013-12-31,17.43,$1.28,13.59
2013-09-30,15.59,$1.83,8.54
2013-06-30,14.97,$1.95,7.68
2013-03-31,13.76,$2.64,5.21
2012-12-31,11.17,$3.11,3.59
2012-09-30,11.49,$2.54,4.53
2012-06-30,11.45,$2.39,4.8
2012-03-31,13.73,$2.10,6.54
2011-12-31,11.42,$1.80,6.33
2011-09-30,8.42,$2.00,4.21
2011-06-30,10.09,$2.42,4.16
2011-03-31,11.2,$1.88,5.94
2010-12-31,12.29,$2.45,5.01
2010-09-30,11.46,$2.00,5.73
2010-06-30,10.64,$1.35,7.89
2010-03-31,11.83,$1.97,6.01
2009-12-31,9.42,$1.37,6.9
