Four Seasons Education (Cayman) Price to Free Cash Flow Ratio Historical Data,Four Seasons Education (Cayman) Price to Free Cash Flow Ratio Historical Data,Four Seasons Education (Cayman) Price to Free Cash Flow Ratio Historical Data,Four Seasons Education (Cayman) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.39,,6.8
2021-02-28,27.66,$1.38,20.02
2020-11-30,16.74,$4.41,3.79
2020-08-31,17.19,$4.41,3.9
2020-05-31,21.05,$4.41,4.77
2020-02-29,26.75,$4.41,6.06
2019-11-30,34.03,$2.19,15.53
2019-08-31,38.58,$2.19,17.6
2019-05-31,39.59,$2.19,18.06
2019-02-28,32.18,$2.19,14.68
2018-11-30,66.21,0,0.0
