Kirkland's Price to Free Cash Flow Ratio Historical Data,Kirkland's Price to Free Cash Flow Ratio Historical Data,Kirkland's Price to Free Cash Flow Ratio Historical Data,Kirkland's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.34,,0.0
2024-10-31,1.6,$-1.04,0.0
2024-07-31,1.8,$-1.20,0.0
2024-04-30,1.91,$-1.38,0.0
2024-01-31,3.3,$-1.48,0.0
2023-10-31,1.6,$-0.51,0.0
2023-07-31,3.12,$0.34,9.25
2023-04-30,3.05,$0.38,8.03
2023-01-31,3.66,$-2.06,0.0
2022-10-31,3.79,$-4.63,0.0
2022-07-31,3.11,$-4.64,0.0
2022-04-30,7.23,$-4.54,0.0
2022-01-31,16.93,$-2.59,0.0
2021-10-31,22.48,$1.17,19.22
2021-07-31,19.46,$2.15,9.04
2021-04-30,29.6,$5.85,5.06
2021-01-31,25.46,$4.71,5.41
2020-10-31,9.28,$4.19,2.21
2020-07-31,5.38,$0.95,5.67
2020-04-30,0.91,$-2.95,0.0
2020-01-31,1.15,$-1.70,0.0
2019-10-31,1.58,$-2.88,0.0
2019-07-31,1.71,$-0.65,0.0
2019-04-30,5.88,$-0.82,0.0
2019-01-31,10.22,$-0.41,0.0
2018-10-31,10.11,$0.31,32.22
2018-07-31,11.38,$-0.61,0.0
2018-04-30,10.59,$0.09,112.66
2018-01-31,10.61,$1.03,10.27
2017-10-31,11.7,$-0.02,0.0
2017-07-31,9.35,$1.18,7.92
2017-04-30,11.76,$1.33,8.83
2017-01-31,13.88,$1.22,11.35
2016-10-31,12.21,$0.88,13.86
2016-07-31,15.24,$0.19,79.83
2016-04-30,16.42,$-0.30,0.0
2016-01-31,11.83,$-0.11,0.0
2015-10-31,22.99,$0.50,46.23
2015-07-31,27.28,$0.74,36.99
2015-04-30,22.44,$1.03,21.87
2015-01-31,21.99,$0.83,26.37
2014-10-31,16.82,$0.35,48.4
2014-07-31,17.78,$0.37,48.15
2014-04-30,16.17,$0.47,34.57
2014-01-31,17.8,$1.20,14.8
2013-10-31,16.78,$1.16,14.51
2013-07-31,16.61,$0.75,22.06
2013-04-30,11.4,$0.78,14.67
2013-01-31,10.93,$0.05,200.63
2012-10-31,9.06,$-0.01,0.0
2012-07-31,10.22,$0.64,16.01
2012-04-30,13.84,$0.43,31.97
2012-01-31,14.17,$0.75,18.96
2011-10-31,10.62,$0.43,24.94
2011-07-31,10.2,$0.36,28.68
2011-04-30,14.26,$0.78,18.37
2011-01-31,12.52,$0.69,18.26
2010-10-31,12.71,$1.06,12.0
2010-07-31,15.93,$1.32,12.03
2010-04-30,21.05,$2.09,10.07
2010-01-31,14.61,$1.96,7.45
2009-10-31,11.89,$1.57,7.58
